position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Pac-Man,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,7.70m,N/A,N/A,N/A,N/A,N/A,01st Mar 82  ,N/A
2,Asteroids,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,4.31m,4.00m,0.26m,N/A,0.05m,01st Jan 81  ,N/A
3,Pitfall!,2600,Activision  ,Activision  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,20th Apr 82  ,N/A
4,Missile Command,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,2.76m,2.56m,0.17m,N/A,0.03m,01st Jan 81  ,N/A
5,Frogger,2600,Parker Bros.  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,2.20m,2.06m,0.12m,N/A,0.02m,01st Jan 82  ,N/A
6,Demon Attack,2600,Imagic  ,Imagic  ,N/A  ,N/A  ,N/A  ,N/A,2.13m,1.99m,0.12m,N/A,0.02m,01st Jan 82  ,N/A
7,Space Invaders,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,2.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 78  ,N/A
8,E.T.: The Extra Terrestrial,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,1.97m,1.84m,0.11m,N/A,0.02m,01st Jan 82  ,N/A
9,Ms. Pac-Man,2600,Atari  ,General Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,1.65m,1.54m,0.10m,N/A,0.02m,01st Jan 82  ,N/A
10,Dig Dug,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,1.64m,1.52m,0.10m,N/A,0.02m,01st Jan 83  ,N/A
11,River Raid,2600,Activision  ,Activision  ,N/A  ,N/A  ,N/A  ,N/A,1.60m,1.49m,0.09m,N/A,0.02m,01st Jan 82  ,N/A
12,Mario Bros.,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,1.59m,1.48m,0.09m,N/A,0.02m,01st Oct 83  ,N/A
13,Donkey Kong,2600,Coleco  ,Nintendo  ,N/A  ,N/A  ,N/A  ,N/A,1.46m,1.36m,0.08m,N/A,0.02m,01st Jan 82  ,N/A
14,Centipede,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,1.36m,1.26m,0.08m,N/A,0.01m,01st Jan 82  ,N/A
15,Pitfall II: Lost Caverns,2600,Activision  ,Activision  ,N/A  ,N/A  ,N/A  ,N/A,1.31m,1.22m,0.07m,N/A,0.02m,16th Sep 83  ,N/A
16,Adventure,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,1.30m,1.21m,0.08m,N/A,0.01m,01st Jan 78  ,N/A
17,Atlantis,2600,Imagic  ,Imagic  ,N/A  ,N/A  ,N/A  ,N/A,1.27m,1.18m,0.08m,N/A,0.01m,01st Jan 82  ,N/A
18,Combat,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,1.25m,1.17m,0.07m,N/A,0.01m,01st Jan 77  ,N/A
19,Pole Position,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,1.18m,1.10m,0.07m,N/A,0.01m,01st Jan 83  ,N/A
20,Kaboom!,2600,Activision  ,Activision  ,N/A  ,N/A  ,N/A  ,N/A,1.15m,1.07m,0.07m,N/A,0.01m,01st Jan 81  ,N/A
21,Moon Patrol,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,1.12m,1.05m,0.06m,N/A,0.01m,01st Jan 83  ,N/A
22,Megamania,2600,Activision  ,Activision  ,N/A  ,N/A  ,N/A  ,N/A,1.10m,1.03m,0.06m,N/A,0.01m,01st Jan 82  ,N/A
23,Jungle Hunt,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,1.10m,1.03m,0.06m,N/A,0.01m,01st Jan 83  ,N/A
24,Joust,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,1.08m,1.01m,0.06m,N/A,0.01m,01st Jan 83  ,N/A
25,Cosmic Ark,2600,Imagic  ,Imagic  ,N/A  ,N/A  ,N/A  ,N/A,1.05m,0.99m,0.05m,N/A,0.01m,01st Jan 82  ,N/A
26,Defender,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,1.05m,0.99m,0.05m,N/A,0.01m,01st Jan 81  ,N/A
27,Air-Sea Battle,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,0.98m,0.91m,0.06m,N/A,0.01m,01st Jan 77  ,N/A
28,Donkey Kong Junior,2600,Coleco  ,Nintendo  ,N/A  ,N/A  ,N/A  ,N/A,0.97m,0.90m,0.05m,N/A,0.01m,01st Jan 83  ,N/A
29,Spider-Man,2600,Parker Bros.  ,Parker Bros.  ,N/A  ,N/A  ,N/A  ,N/A,0.93m,0.87m,0.05m,N/A,0.01m,01st Jan 82  ,N/A
30,Enduro,2600,Activision  ,Activision  ,N/A  ,N/A  ,N/A  ,N/A,0.87m,0.81m,0.05m,N/A,0.01m,01st Jan 83  ,N/A
31,Custer's Revenge,2600,Mystique  ,Mystique  ,N/A  ,N/A  ,N/A  ,N/A,0.82m,0.76m,0.05m,N/A,0.01m,01st Jan 82  ,N/A
32,Alien,2600,20th Century Fox Video Games  ,20th Century Fox Video Games  ,N/A  ,N/A  ,N/A  ,N/A,0.79m,0.74m,0.04m,N/A,0.01m,01st Jan 82  ,N/A
33,Yars' Revenge,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,0.78m,0.73m,0.04m,N/A,0.01m,01st May 82  ,N/A
34,Jr. Pac-Man,2600,Atari  ,General Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.78m,0.72m,0.05m,N/A,0.01m,01st Jan 84  ,N/A
35,Galaxian,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,0.77m,0.72m,0.05m,N/A,0.01m,01st Jan 83  ,N/A
36,Air Raid,2600,Men-A-Vision  ,Men-A-Vision  ,N/A  ,N/A  ,N/A  ,N/A,0.77m,0.72m,0.04m,N/A,0.01m,01st Jan 82  ,N/A
37,Boxing,2600,Activision  ,Activision  ,N/A  ,N/A  ,N/A  ,N/A,0.77m,0.72m,0.04m,N/A,0.01m,17th Jun 80  ,N/A
38,Crystal Castles,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,0.77m,0.72m,0.04m,N/A,0.01m,01st Jan 84  ,N/A
39,Berzerk,2600,Atari  ,Stern Electronics  ,N/A  ,N/A  ,N/A  ,N/A,0.73m,0.68m,0.04m,N/A,0.01m,01st Jan 82  ,N/A
40,Kangaroo,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,0.72m,0.67m,0.04m,N/A,0.01m,01st Jan 83  ,N/A
41,King Kong,2600,Tigervision  ,Tigervision  ,N/A  ,N/A  ,N/A  ,N/A,0.69m,0.65m,0.04m,N/A,0.01m,01st Jan 82  ,N/A
42,Adventures of Tron,2600,Mattel Interactive  ,Mattel  ,N/A  ,N/A  ,N/A  ,N/A,0.67m,0.63m,0.03m,N/A,0.01m,01st Jan 82  ,N/A
43,Keystone Kapers,2600,Activision  ,Activision  ,N/A  ,N/A  ,N/A  ,N/A,0.66m,0.62m,0.04m,N/A,0.01m,01st Jan 83  ,N/A
44,Kung-Fu Master,2600,Activision  ,Activision  ,N/A  ,N/A  ,N/A  ,N/A,0.65m,0.60m,0.04m,N/A,0.01m,12th May 87  ,N/A
45,X-Man,2600,Unknown  ,Universal Gamex  ,N/A  ,N/A  ,N/A  ,N/A,0.63m,0.58m,0.04m,N/A,0.01m,01st Jan 83  ,N/A
46,Battlezone,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,0.62m,0.58m,0.03m,N/A,0.01m,01st Jan 83  ,N/A
47,Halloween,2600,Unknown  ,Wizard Video Games  ,N/A  ,N/A  ,N/A  ,N/A,0.62m,0.58m,0.03m,N/A,0.01m,01st Jan 83  ,N/A
48,BurgerTime,2600,Mattel Interactive  ,Mattel  ,N/A  ,N/A  ,N/A  ,N/A,0.59m,0.55m,0.03m,N/A,0.01m,01st Jan 82  ,N/A
49,Smurf: Rescue In Gargamel's Castle,2600,Coleco  ,Coleco  ,N/A  ,N/A  ,N/A  ,N/A,0.59m,0.55m,0.03m,N/A,0.01m,01st Jan 82  ,N/A
