position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Mario Kart 7,3DS,Nintendo  ,Nintendo EAD / Retro Studios  ,N/A  ,8.2  ,N/A  ,18.92m,N/A,N/A,N/A,N/A,N/A,04th Dec 11  ,N/A
2,Pokémon X/Y,3DS,Nintendo  ,Game Freak  ,N/A  ,8.9  ,9.7  ,16.49m,N/A,N/A,N/A,N/A,N/A,12th Oct 13  ,06th Jan 18
3,Pokémon Sun/Moon,3DS,Nintendo  ,Game Freak  ,N/A  ,9.0  ,N/A  ,16.20m,N/A,N/A,N/A,N/A,N/A,18th Nov 16  ,03rd Aug 18
4,Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,Nintendo  ,Game Freak  ,N/A  ,N/A  ,N/A  ,14.34m,N/A,N/A,N/A,N/A,N/A,21st Nov 14  ,03rd Aug 18
5,New Super Mario Bros. 2,3DS,Nintendo  ,Nintendo  ,N/A  ,7.5  ,N/A  ,13.37m,N/A,N/A,N/A,N/A,N/A,19th Aug 12  ,30th Jan 18
6,Animal Crossing: New Leaf,3DS,Nintendo  ,Nintendo EAD  ,N/A  ,8.6  ,N/A  ,12.82m,N/A,N/A,N/A,N/A,N/A,09th Jun 13  ,02nd Jan 18
7,Super Mario 3D Land,3DS,Nintendo  ,Nintendo EAD Tokyo  ,N/A  ,8.9  ,N/A  ,12.77m,N/A,N/A,N/A,N/A,N/A,13th Nov 11  ,06th Apr 18
8,Super Smash Bros. for 3DS,3DS,Nintendo  ,Bandai Namco Games  ,N/A  ,8.4  ,N/A  ,9.61m,N/A,N/A,N/A,N/A,N/A,03rd Oct 14  ,11th Apr 18
9,Pokémon: Ultra Sun and Ultra Moon,3DS,Nintendo  ,Game Freak  ,N/A  ,8.1  ,N/A  ,8.89m,N/A,N/A,N/A,N/A,N/A,17th Nov 17  ,03rd Aug 18
10,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,Nintendo  ,Level 5  ,N/A  ,N/A  ,N/A  ,7.30m,N/A,N/A,N/A,N/A,N/A,30th Sep 16  ,26th Jan 19
11,Tomodachi Life,3DS,Nintendo  ,Nintendo  ,N/A  ,7.8  ,N/A  ,6.63m,N/A,N/A,N/A,N/A,N/A,06th Jun 14  ,05th Jan 18
12,Luigi's Mansion: Dark Moon,3DS,Nintendo  ,Next Level Games  ,N/A  ,8.6  ,N/A  ,6.33m,N/A,N/A,N/A,N/A,N/A,24th Mar 13  ,03rd Aug 20
13,The Legend of Zelda: Ocarina of Time 3D,3DS,Nintendo  ,GREZZO  ,N/A  ,9.3  ,N/A  ,6.22m,N/A,N/A,N/A,N/A,N/A,19th Jun 11  ,N/A
14,Nintendogs + cats,3DS,Nintendo  ,Nintendo EAD  ,N/A  ,7.2  ,N/A  ,4.64m,N/A,N/A,N/A,N/A,N/A,27th Mar 11  ,N/A
15,Monster Hunter Generations,3DS,Capcom  ,Capcom  ,N/A  ,8.8  ,N/A  ,4.30m,N/A,N/A,N/A,N/A,N/A,15th Jul 16  ,30th Jan 18
