position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Sonic Adventure,DC,Sega  ,Sonic Team  ,N/A  ,8.9  ,N/A  ,N/A,2.42m,1.26m,0.61m,0.46m,0.08m,09th Sep 99  ,N/A
2,Crazy Taxi,DC,Sega  ,Hitmaker  ,N/A  ,9.3  ,N/A  ,N/A,1.81m,1.10m,0.51m,0.12m,0.08m,24th Jan 00  ,N/A
3,NFL 2K,DC,Sega  ,Visual Concepts  ,N/A  ,9.7  ,N/A  ,N/A,1.20m,1.12m,0.05m,N/A,0.02m,09th Sep 99  ,N/A
4,Shenmue,DC,Sega  ,Sega-AM2  ,N/A  ,8.9  ,N/A  ,1.20m,N/A,N/A,N/A,N/A,N/A,07th Nov 00  ,N/A
5,Resident Evil - Code: Veronica,DC,Capcom  ,Capcom  ,N/A  ,9.2  ,N/A  ,1.14m,N/A,N/A,N/A,N/A,N/A,29th Feb 00  ,N/A
6,NFL 2K1,DC,Sega  ,Visual Concepts  ,N/A  ,9.6  ,N/A  ,N/A,1.09m,1.02m,0.05m,N/A,0.02m,07th Sep 00  ,N/A
7,SoulCalibur,DC,Namco  ,Namco  ,N/A  ,9.6  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,09th Sep 99  ,N/A
8,Seaman,DC,Sega  ,VIVARIUM Inc.  ,N/A  ,8.1  ,N/A  ,N/A,0.52m,N/A,N/A,0.52m,N/A,09th Aug 00  ,N/A
9,Sega Rally Championship 2,DC,Sega  ,Sega-AM3  ,N/A  ,8.5  ,N/A  ,N/A,0.41m,N/A,N/A,0.41m,N/A,31st Oct 99  ,N/A
10,Virtua Fighter 3tb,DC,Sega  ,Sega  ,N/A  ,8.1  ,N/A  ,N/A,0.37m,N/A,N/A,0.37m,0.00m,18th Oct 99  ,N/A
11,J-League Pro Soccer Club o Tsukurou!,DC,Sega  ,Smilebit  ,N/A  ,N/A  ,N/A  ,N/A,0.36m,N/A,N/A,0.36m,0.00m,30th Sep 99  ,N/A
12,Sakura Wars 3: Paris wa Moeteiru ka,DC,Sega  ,Overworks  ,N/A  ,N/A  ,N/A  ,N/A,0.33m,N/A,N/A,0.33m,0.00m,22nd Mar 01  ,N/A
13,Virtua Striker 2,DC,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,0.32m,N/A,N/A,0.32m,N/A,29th Feb 00  ,N/A
14,"Sakura Wars 4: Koi Seyo,Otome",DC,Sega  ,Overworks  ,N/A  ,N/A  ,N/A  ,N/A,0.29m,N/A,N/A,0.29m,N/A,21st Mar 02  ,N/A
15,The House of the Dead 2,DC,Sega  ,Wow Entertainment  ,N/A  ,7.5  ,N/A  ,N/A,0.26m,N/A,N/A,0.26m,N/A,09th Sep 99  ,N/A
16,Pro Yakyuu Team o Tsukurou!,DC,Sega  ,Smilebit  ,N/A  ,N/A  ,N/A  ,N/A,0.23m,N/A,N/A,0.23m,0.00m,05th Aug 99  ,N/A
17,Capcom vs. SNK,DC,Capcom  ,Capcom  ,N/A  ,8.8  ,N/A  ,N/A,0.22m,N/A,N/A,0.22m,N/A,09th Nov 00  ,N/A
18,Phantasy Star Online,DC,Sega  ,Sonic Team  ,N/A  ,8.9  ,N/A  ,N/A,0.20m,N/A,N/A,0.20m,N/A,29th Jan 01  ,N/A
19,Grandia II,DC,Ubisoft  ,Game Arts  ,N/A  ,8.6  ,N/A  ,N/A,0.20m,N/A,N/A,0.20m,0.00m,06th Dec 00  ,N/A
20,Phantasy Star Online Ver. 2,DC,Sega  ,Sonic Team  ,N/A  ,8.3  ,N/A  ,N/A,0.19m,N/A,N/A,0.19m,0.00m,24th Sep 01  ,N/A
21,Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,DC,Sega  ,Smilebit  ,N/A  ,N/A  ,N/A  ,N/A,0.18m,N/A,N/A,0.18m,0.00m,21st Dec 00  ,N/A
22,Tokyo Xtreme Racer,DC,Crave Entertainment  ,Genki  ,N/A  ,N/A  ,N/A  ,N/A,0.17m,N/A,N/A,0.17m,0.00m,31st Aug 99  ,N/A
