position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,New Super Mario Bros.,DS,Nintendo  ,Nintendo EAD  ,N/A  ,9.1  ,8.1  ,30.80m,N/A,N/A,N/A,N/A,N/A,15th May 06  ,N/A
2,Nintendogs,DS,Nintendo  ,Nintendo EAD  ,N/A  ,8.4  ,N/A  ,23.96m,N/A,N/A,N/A,N/A,N/A,23rd Aug 05  ,N/A
3,Mario Kart DS,DS,Nintendo  ,Nintendo EAD  ,N/A  ,9.1  ,9.4  ,23.60m,N/A,N/A,N/A,N/A,N/A,14th Nov 05  ,N/A
4,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo  ,Nintendo SDD  ,N/A  ,8.1  ,N/A  ,19.01m,N/A,N/A,N/A,N/A,N/A,17th Apr 06  ,N/A
5,Pokémon Diamond / Pearl Version,DS,Nintendo  ,Game Freak  ,N/A  ,8.6  ,N/A  ,17.67m,N/A,N/A,N/A,N/A,N/A,28th Apr 07  ,N/A
6,Pokémon Black / White Version,DS,Nintendo  ,Game Freak  ,N/A  ,8.6  ,9.0  ,15.64m,N/A,N/A,N/A,N/A,N/A,06th Mar 11  ,N/A
7,Brain Age 2: More Training in Minutes a Day,DS,Nintendo  ,Nintendo SDD  ,N/A  ,8.0  ,N/A  ,14.88m,N/A,N/A,N/A,N/A,N/A,20th Aug 07  ,N/A
8,Pokémon Heart Gold / Soul Silver Version,DS,Nintendo  ,Game Freak  ,8.5  ,8.6  ,N/A  ,12.72m,N/A,N/A,N/A,N/A,N/A,14th Mar 10  ,N/A
9,Animal Crossing: Wild World,DS,Nintendo  ,Nintendo EAD  ,N/A  ,8.5  ,N/A  ,11.75m,N/A,N/A,N/A,N/A,N/A,05th Dec 05  ,N/A
10,Super Mario 64 DS,DS,Nintendo  ,Nintendo EAD  ,N/A  ,8.6  ,N/A  ,11.06m,N/A,N/A,N/A,N/A,N/A,20th Nov 04  ,N/A
11,Mario Party DS,DS,Nintendo  ,Hudson Soft  ,N/A  ,7.1  ,N/A  ,9.31m,N/A,N/A,N/A,N/A,N/A,19th Nov 07  ,N/A
12,Pokémon Black 2 and White 2,DS,Nintendo  ,Game Freak  ,N/A  ,8.0  ,8.3  ,8.52m,N/A,N/A,N/A,N/A,N/A,07th Oct 12  ,25th Feb 18
13,Pokémon Platinum Version,DS,Nintendo  ,Game Freak  ,N/A  ,8.3  ,8.9  ,7.60m,N/A,N/A,N/A,N/A,N/A,22nd Mar 09  ,N/A
14,Big Brain Academy,DS,Nintendo  ,Nintendo EAD  ,N/A  ,7.7  ,N/A  ,6.15m,N/A,N/A,N/A,N/A,N/A,05th Jun 06  ,N/A
15,Cooking Mama,DS,Majesco  ,Office Create  ,N/A  ,6.6  ,N/A  ,N/A,5.66m,3.09m,1.92m,0.07m,0.58m,12th Sep 06  ,N/A
16,Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo  ,Level 5  ,N/A  ,8.6  ,N/A  ,5.50m,N/A,N/A,N/A,N/A,N/A,11th Jul 10  ,N/A
17,Mario & Sonic at the Olympic Games,DS,Sega  ,Sega  ,N/A  ,7.0  ,N/A  ,N/A,5.10m,1.63m,2.46m,0.44m,0.57m,22nd Jan 08  ,N/A
18,Pokémon Mystery Dungeon: Explorers of Time / Darkness,DS,Nintendo  ,ChunSoft  ,N/A  ,6.4  ,N/A  ,4.88m,N/A,N/A,N/A,N/A,N/A,20th Apr 08  ,N/A
19,LEGO Star Wars: The Complete Saga,DS,LucasArts  ,Traveller's Tales  ,N/A  ,7.8  ,N/A  ,N/A,4.77m,2.83m,1.49m,N/A,0.45m,06th Nov 07  ,N/A
20,The Legend of Zelda: Phantom Hourglass,DS,Nintendo  ,Nintendo EAD  ,9.2  ,9.1  ,N/A  ,4.76m,N/A,N/A,N/A,N/A,N/A,02nd Oct 07  ,N/A
21,Mario & Luigi: Bowser's Inside Story,DS,Nintendo  ,AlphaDream Corporation  ,9.1  ,9.1  ,N/A  ,4.56m,N/A,N/A,N/A,N/A,N/A,14th Sep 09  ,N/A
22,Professor Layton and the Curious Village,DS,Nintendo  ,Level 5  ,N/A  ,8.7  ,N/A  ,4.49m,N/A,N/A,N/A,N/A,N/A,10th Feb 08  ,N/A
23,English Training: Have Fun Improving Your Skills!,DS,Nintendo  ,Plato  ,N/A  ,N/A  ,N/A  ,3.91m,N/A,N/A,N/A,N/A,N/A,27th Oct 06  ,N/A
24,Professor Layton and the Diabolical Box,DS,Nintendo  ,Level 5  ,9.0  ,8.5  ,N/A  ,3.88m,N/A,N/A,N/A,N/A,N/A,24th Aug 09  ,N/A
25,Tomodachi Collection,DS,Nintendo  ,Nintendo SPD Group No.1  ,N/A  ,N/A  ,N/A  ,3.76m,N/A,N/A,N/A,N/A,N/A,18th Jun 09  ,N/A
26,MySims,DS,Electronic Arts  ,EA Redwood Shores  ,N/A  ,6.7  ,N/A  ,N/A,3.66m,1.58m,1.60m,0.08m,0.40m,18th Sep 07  ,N/A
27,Cooking Mama 2: Dinner With Friends,DS,Majesco  ,Office Create  ,N/A  ,6.9  ,N/A  ,N/A,3.58m,1.60m,1.49m,0.10m,0.39m,13th Nov 07  ,N/A
28,Pokémon Mystery Dungeon: Blue Rescue Team,DS,Nintendo  ,ChunSoft  ,N/A  ,6.3  ,N/A  ,3.49m,N/A,N/A,N/A,N/A,N/A,18th Sep 06  ,N/A
29,Mario & Sonic at the Olympic Winter Games,DS,Sega  ,Sega  ,N/A  ,7.6  ,N/A  ,N/A,3.47m,1.21m,1.63m,0.27m,0.37m,13th Oct 09  ,N/A
30,Guitar Hero: On Tour,DS,Activision  ,Vicarious Visions  ,N/A  ,7.1  ,8.1  ,N/A,3.46m,2.10m,1.01m,0.01m,0.35m,22nd Jun 08  ,N/A
31,Yoshi's Island DS,DS,Nintendo  ,Artoon  ,N/A  ,8.2  ,N/A  ,3.36m,N/A,N/A,N/A,N/A,N/A,13th Nov 06  ,N/A
32,Flash Focus: Vision Training in Minutes a Day,DS,Nintendo  ,Bandai Namco Games  ,N/A  ,6.1  ,N/A  ,3.23m,N/A,N/A,N/A,N/A,N/A,15th Oct 07  ,N/A
33,Personal Trainer: Cooking,DS,Nintendo  ,Nintendo EAD  ,N/A  ,8.4  ,N/A  ,3.18m,N/A,N/A,N/A,N/A,N/A,24th Nov 08  ,N/A
34,Club Penguin: Elite Penguin Force,DS,Disney Interactive Studios  ,1st Playable Productions  ,N/A  ,7.0  ,N/A  ,N/A,3.14m,1.87m,0.97m,N/A,0.30m,25th Nov 08  ,N/A
35,LEGO Batman: The Videogame,DS,Warner Bros. Interactive  ,Traveller's Tales  ,N/A  ,7.8  ,N/A  ,N/A,3.06m,1.75m,1.02m,N/A,0.29m,23rd Sep 08  ,N/A
36,Rhythm Heaven,DS,Nintendo  ,Nintendo SPD Group No.1  ,8.9  ,8.5  ,N/A  ,3.04m,N/A,N/A,N/A,N/A,N/A,05th Apr 09  ,31st May 18
37,Professor Layton and the Unwound Future,DS,Nintendo  ,Level 5  ,N/A  ,8.4  ,N/A  ,3.02m,N/A,N/A,N/A,N/A,N/A,12th Sep 10  ,N/A
38,Sonic Rush,DS,Sega  ,Dimps Corporation  ,N/A  ,7.8  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,15th Nov 05  ,N/A
39,Kirby Super Star Ultra,DS,Nintendo  ,HAL Laboratory  ,9.0  ,7.3  ,N/A  ,2.99m,N/A,N/A,N/A,N/A,N/A,22nd Sep 08  ,N/A
40,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,Nintendo  ,Nintendo Software Technology Corporation  ,N/A  ,7.8  ,N/A  ,2.98m,N/A,N/A,N/A,N/A,N/A,14th Nov 10  ,N/A
41,Style Savvy,DS,Nintendo  ,syn Sophia  ,N/A  ,7.6  ,N/A  ,2.98m,N/A,N/A,N/A,N/A,N/A,02nd Nov 09  ,N/A
42,The Legend of Zelda: Spirit Tracks,DS,Nintendo  ,Nintendo EAD  ,9.0  ,8.7  ,N/A  ,2.96m,N/A,N/A,N/A,N/A,N/A,07th Dec 09  ,N/A
43,Pokémon Ranger,DS,Nintendo  ,HAL Laboratory  ,N/A  ,6.6  ,N/A  ,2.93m,N/A,N/A,N/A,N/A,N/A,30th Oct 06  ,N/A
44,Imagine: Babyz,DS,Ubisoft  ,Visual Impact  ,N/A  ,3.5  ,N/A  ,N/A,2.87m,1.30m,1.26m,N/A,0.31m,23rd Oct 07  ,N/A
45,Imagine: Fashion Designer,DS,Ubisoft  ,Virtual Toys / Lexis Numerique  ,N/A  ,3.0  ,N/A  ,N/A,2.81m,1.32m,1.19m,N/A,0.30m,23rd Oct 07  ,17th Sep 18
46,Tetris DS,DS,Nintendo  ,Nintendo  ,N/A  ,8.5  ,N/A  ,2.74m,N/A,N/A,N/A,N/A,N/A,20th Mar 06  ,N/A
47,Hannah Montana,DS,Buena Vista  ,DC Studios  ,N/A  ,6.5  ,N/A  ,N/A,2.65m,1.59m,0.80m,N/A,0.26m,10th Oct 06  ,N/A
48,Clubhouse Games,DS,Nintendo  ,Agenda  ,N/A  ,8.3  ,N/A  ,2.57m,N/A,N/A,N/A,N/A,N/A,09th Oct 06  ,N/A
49,WarioWare Touched!,DS,Nintendo  ,Intelligent Systems  ,N/A  ,7.8  ,N/A  ,2.47m,N/A,N/A,N/A,N/A,N/A,14th Feb 05  ,N/A
50,Pokémon Ranger: Shadows of Almia,DS,Nintendo  ,HAL Laboratory  ,N/A  ,6.7  ,N/A  ,2.35m,N/A,N/A,N/A,N/A,N/A,10th Nov 08  ,N/A
51,Art Academy,DS,Nintendo  ,Headstrong Games  ,N/A  ,6.8  ,N/A  ,2.33m,N/A,N/A,N/A,N/A,N/A,25th Oct 10  ,N/A
52,Final Fantasy III,DS,Square Enix  ,Matrix Software  ,N/A  ,7.4  ,N/A  ,2.30m,N/A,N/A,N/A,N/A,N/A,14th Nov 06  ,N/A
53,LEGO Harry Potter: Years 1-4,DS,Warner Bros. Interactive  ,Traveller's Tales  ,N/A  ,8.0  ,N/A  ,N/A,2.29m,1.07m,1.00m,N/A,0.22m,29th Jun 10  ,01st Dec 18
54,Kirby Squeak Squad,DS,Nintendo  ,"HAL Laboratory, Flagship  ",N/A  ,7.3  ,N/A  ,2.27m,N/A,N/A,N/A,N/A,N/A,06th Dec 06  ,N/A
55,LEGO Indiana Jones: The Original Adventures,DS,LucasArts  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,2.20m,1.40m,0.60m,N/A,0.21m,03rd Jun 08  ,N/A
56,High School Musical: Makin' the Cut!,DS,Disney Interactive Studios  ,Artificial Mind and Movement  ,N/A  ,7.3  ,N/A  ,N/A,2.20m,1.06m,0.90m,N/A,0.23m,14th Aug 07  ,N/A
57,Inazuma Eleven 3: Lightning Bolt / Bomb Blast / Team Ogre Attacks!,DS,Level 5  ,Level 5  ,N/A  ,N/A  ,N/A  ,2.15m,N/A,N/A,N/A,N/A,N/A,01st Jul 10  ,26th Jan 19
58,The Sims 2: Pets,DS,Electronic Arts  ,Maxis  ,N/A  ,4.8  ,N/A  ,N/A,2.07m,0.92m,0.93m,N/A,0.22m,31st Oct 06  ,N/A
59,Professor Layton and the Last Specter,DS,Nintendo  ,Level 5  ,N/A  ,8.4  ,N/A  ,2.06m,N/A,N/A,N/A,N/A,N/A,17th Oct 11  ,N/A
60,Toy Story 3: The Video Game,DS,Disney Interactive Studios  ,Avalanche Software  ,N/A  ,N/A  ,N/A  ,N/A,2.06m,0.89m,0.95m,0.02m,0.21m,15th Jun 10  ,N/A
61,Carnival Games,DS,2K Play  ,Cat Daddy Games  ,N/A  ,N/A  ,N/A  ,N/A,2.04m,1.22m,0.63m,N/A,0.19m,08th Jul 08  ,N/A
62,Mario Hoops 3 on 3,DS,Nintendo  ,Square Enix  ,N/A  ,7.1  ,N/A  ,2.03m,N/A,N/A,N/A,N/A,N/A,11th Sep 06  ,N/A
63,Dragon Quest Monsters: Joker 2,DS,Nintendo  ,TOSE Software  ,N/A  ,8.1  ,N/A  ,2.00m,N/A,N/A,N/A,N/A,N/A,19th Sep 11  ,N/A
64,TouchMaster,DS,Midway Games  ,Midway Studios San Diego  ,N/A  ,6.9  ,N/A  ,N/A,2.00m,0.48m,1.27m,N/A,0.24m,25th Jun 07  ,N/A
65,Inazuma Eleven 2: Blizzard / Firestorm,DS,Level 5  ,Level 5  ,N/A  ,N/A  ,N/A  ,1.96m,N/A,N/A,N/A,N/A,N/A,09th Oct 09  ,31st Aug 18
66,Dragon Quest Monsters: Joker,DS,Square Enix  ,TOSE Software  ,N/A  ,7.6  ,N/A  ,1.90m,N/A,N/A,N/A,N/A,N/A,06th Nov 07  ,N/A
67,Sonic Classic Collection,DS,Sega  ,Sonic Team  ,N/A  ,7.5  ,N/A  ,N/A,1.86m,0.94m,0.74m,N/A,0.18m,02nd Mar 10  ,N/A
68,Phineas and Ferb,DS,Disney Interactive Studios  ,Disney Interactive Studios  ,N/A  ,N/A  ,N/A  ,N/A,1.85m,1.33m,0.37m,N/A,0.15m,03rd Feb 09  ,N/A
69,Namco Museum DS,DS,Namco Bandai  ,M2  ,N/A  ,N/A  ,N/A  ,1.80m,N/A,N/A,N/A,N/A,N/A,18th Sep 07  ,N/A
70,Mario & Luigi: Partners in Time,DS,Nintendo  ,AlphaDream Corporation  ,N/A  ,8.8  ,N/A  ,1.73m,N/A,N/A,N/A,N/A,N/A,28th Nov 05  ,N/A
71,Deal or No Deal,DS,"Destination Software, Inc  ",Global Star  ,N/A  ,N/A  ,N/A  ,N/A,1.72m,1.16m,0.40m,N/A,0.16m,23rd Jul 07  ,N/A
72,Imagine: Teacher,DS,Ubisoft  ,Magic Pockets  ,N/A  ,N/A  ,N/A  ,N/A,1.71m,0.70m,0.83m,N/A,0.19m,12th Aug 08  ,N/A
73,Dragon Quest V: Hand of the Heavenly Bride,DS,Square Enix  ,ArtePiazza  ,8.4  ,8.6  ,N/A  ,1.70m,N/A,N/A,N/A,N/A,N/A,17th Feb 09  ,N/A
74,Dragon Quest VI: Realms of Revelation,DS,Nintendo  ,ArtePiazza  ,N/A  ,7.6  ,N/A  ,1.70m,N/A,N/A,N/A,N/A,N/A,14th Feb 11  ,N/A
75,Kingdom Hearts 358/2 Days,DS,Square Enix  ,High Horse Entertainment  ,8.5  ,7.5  ,N/A  ,1.70m,N/A,N/A,N/A,N/A,N/A,29th Sep 09  ,N/A
76,Super Princess Peach,DS,Nintendo  ,TOSE Software  ,N/A  ,7.8  ,N/A  ,1.70m,N/A,N/A,N/A,N/A,N/A,27th Feb 06  ,N/A
77,Ben 10: Protector of Earth,DS,D3 Publisher  ,1st Playable Productions  ,N/A  ,N/A  ,N/A  ,N/A,1.70m,0.68m,0.82m,N/A,0.19m,30th Oct 07  ,N/A
78,Cooking Mama 3: Shop & Chop,DS,505 Games  ,Cooking Mama Ltd.  ,N/A  ,N/A  ,N/A  ,N/A,1.69m,0.79m,0.66m,0.08m,0.17m,20th Oct 09  ,N/A
79,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,Nintendo  ,HAL Laboratory  ,N/A  ,N/A  ,N/A  ,1.68m,N/A,N/A,N/A,N/A,N/A,26th Oct 06  ,N/A
80,SpongeBob's Atlantis SquarePantis,DS,THQ  ,Altron  ,N/A  ,N/A  ,N/A  ,N/A,1.61m,1.49m,0.00m,N/A,0.11m,23rd Oct 07  ,N/A
81,Dragon Quest IV: Chapters of the Chosen,DS,Square Enix  ,ArtePiazza  ,8.0  ,8.1  ,8.0  ,1.60m,N/A,N/A,N/A,N/A,N/A,16th Sep 08  ,N/A
82,Diddy Kong Racing DS,DS,Nintendo  ,Rare Ltd.  ,N/A  ,5.1  ,N/A  ,1.59m,N/A,N/A,N/A,N/A,N/A,05th Feb 07  ,N/A
83,Guitar Hero: On Tour Decades,DS,Activision  ,Vicarious Visions  ,N/A  ,N/A  ,N/A  ,N/A,1.57m,0.84m,0.57m,N/A,0.16m,16th Nov 08  ,N/A
84,Moshi Monsters: Moshling Zoo,DS,Activision  ,Mind Candy  ,N/A  ,N/A  ,N/A  ,N/A,1.57m,0.38m,0.98m,N/A,0.21m,06th Nov 11  ,N/A
85,High School Musical 3: Senior Year,DS,Disney Interactive Studios  ,Griptonite Games  ,N/A  ,N/A  ,N/A  ,N/A,1.57m,0.63m,0.76m,N/A,0.18m,21st Oct 08  ,N/A
