position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Pokémon Ruby / Sapphire Version,GBA,Nintendo  ,Game Freak  ,N/A  ,8.8  ,N/A  ,16.22m,N/A,N/A,N/A,N/A,N/A,17th Mar 03  ,N/A
2,Pokémon FireRed / LeafGreen Version,GBA,Nintendo  ,Game Freak  ,N/A  ,8.3  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,07th Sep 04  ,N/A
3,Pokémon Emerald Version,GBA,Nintendo  ,Game Freak  ,N/A  ,7.7  ,N/A  ,7.06m,N/A,N/A,N/A,N/A,N/A,30th Apr 05  ,N/A
4,Mario Kart: Super Circuit,GBA,Nintendo  ,Intelligent Systems  ,N/A  ,9.3  ,N/A  ,5.91m,N/A,N/A,N/A,N/A,N/A,26th Aug 01  ,N/A
5,Super Mario World: Super Mario Advance 2,GBA,Nintendo  ,Nintendo EAD  ,N/A  ,9.4  ,N/A  ,5.69m,N/A,N/A,N/A,N/A,N/A,09th Feb 02  ,N/A
6,Super Mario Advance,GBA,Nintendo  ,Nintendo EAD  ,N/A  ,8.2  ,N/A  ,5.57m,N/A,N/A,N/A,N/A,N/A,10th Jun 01  ,N/A
7,Super Mario Advance 4: Super Mario Bros. 3,GBA,Nintendo  ,Nintendo EAD  ,N/A  ,9.2  ,N/A  ,5.43m,N/A,N/A,N/A,N/A,N/A,21st Oct 03  ,N/A
8,Namco Museum,GBA,Namco  ,Mass Media  ,N/A  ,N/A  ,N/A  ,N/A,4.24m,3.00m,1.11m,0.05m,0.07m,10th Jun 01  ,N/A
9,Pac-Man Collection,GBA,Namco  ,Mass Media  ,N/A  ,N/A  ,N/A  ,N/A,2.94m,2.07m,0.77m,0.05m,0.05m,12th Jul 01  ,N/A
10,Yoshi's Island: Super Mario Advance 3,GBA,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,N/A  ,2.83m,N/A,N/A,N/A,N/A,N/A,24th Sep 02  ,N/A
11,Finding Nemo,GBA,THQ  ,Vicarious Visions  ,N/A  ,7.0  ,N/A  ,N/A,2.82m,1.59m,1.05m,0.04m,0.14m,10th May 03  ,N/A
12,The Legend of Zelda: A Link to the Past,GBA,Nintendo  ,"Flagship Co., Ltd. / Nintendo EAD  ",N/A  ,9.6  ,N/A  ,2.82m,N/A,N/A,N/A,N/A,N/A,03rd Dec 02  ,N/A
13,Frogger's Adventures: Temple of the Frog,GBA,Konami  ,Konami  ,N/A  ,6.7  ,N/A  ,N/A,2.39m,2.15m,0.18m,N/A,0.07m,24th Oct 01  ,N/A
14,Pokémon Mystery Dungeon: Red Rescue Team,GBA,Nintendo  ,ChunSoft  ,N/A  ,N/A  ,N/A  ,2.36m,N/A,N/A,N/A,N/A,N/A,18th Sep 06  ,N/A
15,Classic NES Series: Super Mario Bros.,GBA,Nintendo  ,Nintendo EAD  ,N/A  ,8.3  ,N/A  ,2.27m,N/A,N/A,N/A,N/A,N/A,02nd Jun 04  ,N/A
16,Sonic Advance,GBA,Sega  ,Dimps Corporation / Sonic Team  ,N/A  ,N/A  ,N/A  ,N/A,2.24m,1.19m,0.71m,0.22m,0.13m,04th Feb 02  ,N/A
17,Spyro: Season of Ice,GBA,Vivendi Games  ,Digital Eclipse  ,N/A  ,N/A  ,N/A  ,N/A,2.23m,1.29m,0.83m,N/A,0.11m,29th Oct 01  ,N/A
18,Wario Land 4,GBA,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,2.20m,N/A,N/A,N/A,N/A,N/A,18th Nov 01  ,N/A
19,Mario & Luigi: Superstar Saga,GBA,Nintendo  ,AlphaDream Corporation  ,N/A  ,8.8  ,N/A  ,2.15m,N/A,N/A,N/A,N/A,N/A,17th Nov 03  ,N/A
20,Kirby: Nightmare in Dream Land,GBA,Nintendo  ,HAL Laboratory  ,N/A  ,8.1  ,N/A  ,2.10m,N/A,N/A,N/A,N/A,N/A,02nd Dec 02  ,20th Apr 18
21,Yu-Gi-Oh! The Eternal Duelist Soul,GBA,Konami  ,Konami Computer Entertainment Japan  ,N/A  ,N/A  ,N/A  ,N/A,2.07m,1.64m,0.36m,N/A,0.07m,15th Oct 02  ,N/A
22,The Incredibles,GBA,THQ  ,Helixe  ,N/A  ,5.4  ,N/A  ,N/A,2.06m,1.15m,0.77m,0.04m,0.10m,31st Oct 04  ,N/A
23,Harry Potter and the Chamber of Secrets,GBA,Electronic Arts  ,Eurocom Entertainment Software  ,N/A  ,7.2  ,N/A  ,N/A,1.99m,1.21m,0.64m,0.05m,0.09m,14th Nov 02  ,N/A
24,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,THQ  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,1.83m,1.31m,0.49m,N/A,0.03m,11th Nov 05  ,N/A
25,Donkey Kong Country,GBA,Nintendo  ,Rare Ltd.  ,N/A  ,7.5  ,N/A  ,1.82m,N/A,N/A,N/A,N/A,N/A,09th Jun 03  ,N/A
26,Sonic Advance 2,GBA,Sega  ,Dimps Corporation / Sonic Team  ,N/A  ,N/A  ,N/A  ,N/A,1.80m,0.93m,0.59m,0.21m,0.07m,09th Mar 03  ,N/A
27,The Legend of Zelda: The Minish Cap,GBA,Nintendo  ,Flagship  ,N/A  ,8.9  ,N/A  ,1.76m,N/A,N/A,N/A,N/A,N/A,10th Jan 05  ,N/A
28,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,THQ  ,Helixe / Altron  ,N/A  ,N/A  ,N/A  ,N/A,1.76m,1.26m,0.47m,N/A,0.03m,27th Feb 07  ,N/A
29,2 Games in 1: Disney Princess & The Lion King,GBA,THQ  ,Various  ,N/A  ,N/A  ,N/A  ,N/A,1.75m,1.25m,0.46m,N/A,0.03m,01st Dec 04  ,N/A
30,Crash Bandicoot: The Huge Adventure,GBA,Vivendi Games  ,Vicarious Visions  ,N/A  ,8.3  ,N/A  ,N/A,1.73m,0.95m,0.70m,N/A,0.08m,25th Feb 02  ,N/A
31,Tetris Worlds,GBA,THQ  ,3d6 Games  ,N/A  ,N/A  ,N/A  ,N/A,1.71m,1.25m,0.39m,N/A,0.06m,05th Sep 01  ,N/A
32,Final Fantasy Tactics Advance,GBA,Nintendo  ,Square Enix  ,N/A  ,N/A  ,N/A  ,1.70m,N/A,N/A,N/A,N/A,N/A,08th Sep 03  ,N/A
33,Harry Potter and the Sorcerer's Stone,GBA,Electronic Arts  ,Griptonite Games  ,N/A  ,6.6  ,N/A  ,N/A,1.69m,0.87m,0.66m,0.08m,0.08m,15th Nov 01  ,N/A
34,Dragon Ball Z: The Legacy of Goku,GBA,Infogrames  ,Webfoot Technologies  ,N/A  ,6.5  ,N/A  ,N/A,1.69m,1.52m,0.12m,N/A,0.05m,14th May 02  ,N/A
35,"Monsters, Inc.",GBA,THQ  ,Artificial Mind and Movement  ,N/A  ,N/A  ,N/A  ,N/A,1.67m,0.59m,0.95m,0.03m,0.10m,25th Oct 01  ,N/A
36,Golden Sun,GBA,Nintendo  ,Camelot Software Planning  ,N/A  ,9.1  ,N/A  ,1.65m,N/A,N/A,N/A,N/A,N/A,11th Nov 01  ,N/A
37,Kingdom Hearts: Chain of Memories,GBA,Square Enix  ,Jupiter Corporation  ,N/A  ,7.4  ,N/A  ,1.60m,N/A,N/A,N/A,N/A,N/A,07th Dec 04  ,N/A
38,Metroid Fusion,GBA,Nintendo  ,Nintendo R&D1  ,N/A  ,9.0  ,N/A  ,1.60m,N/A,N/A,N/A,N/A,N/A,17th Nov 02  ,N/A
39,Spyro 2: Season of Flame,GBA,Vivendi Games  ,Digital Eclipse  ,N/A  ,N/A  ,N/A  ,N/A,1.58m,0.85m,0.65m,N/A,0.08m,25th Sep 02  ,N/A
40,Disney Princess,GBA,THQ  ,Art  ,N/A  ,N/A  ,N/A  ,N/A,1.47m,1.04m,0.37m,N/A,0.06m,04th Apr 03  ,N/A
41,Kirby & the Amazing Mirror,GBA,Nintendo  ,Flagship  ,N/A  ,7.9  ,N/A  ,1.47m,N/A,N/A,N/A,N/A,N/A,18th Oct 04  ,N/A
42,The SpongeBob SquarePants Movie,GBA,THQ  ,WayForward  ,N/A  ,N/A  ,N/A  ,N/A,1.46m,1.02m,0.38m,N/A,0.06m,27th Oct 04  ,N/A
43,Classic NES Series: Super Mario Bros.,GBA,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,N/A,1.43m,N/A,N/A,1.39m,0.03m,02nd Jun 04  ,N/A
44,Sonic Advance 3,GBA,THQ  ,Dimps Corporation / Sonic Team  ,N/A  ,N/A  ,N/A  ,N/A,1.40m,0.74m,0.52m,0.08m,0.06m,07th Jun 04  ,N/A
45,Mario vs. Donkey Kong,GBA,Nintendo  ,Nintendo Software Technology Corporation  ,N/A  ,N/A  ,N/A  ,1.37m,N/A,N/A,N/A,N/A,N/A,24th May 04  ,N/A
46,Pokémon Pinball: Ruby & Sapphire (Old all region sales),GBA,Nintendo  ,Jupiter Corporation  ,N/A  ,N/A  ,N/A  ,1.37m,N/A,N/A,N/A,N/A,N/A,26th Aug 03  ,04th Sep 18
47,Crash Bandicoot 2: N-Tranced,GBA,Vivendi Games  ,Vicarious Visions  ,N/A  ,7.5  ,N/A  ,N/A,1.36m,0.63m,0.66m,N/A,0.07m,07th Jan 03  ,N/A
48,Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,1.35m,N/A,N/A,N/A,N/A,N/A,29th Jun 04  ,N/A
49,Spider-Man: The Movie,GBA,Activision  ,Digital Eclipse  ,N/A  ,7.9  ,N/A  ,N/A,1.33m,0.92m,0.35m,0.01m,0.05m,16th Apr 02  ,N/A
50,The Sims: Bustin' Out,GBA,Electronic Arts  ,Griptonite Games  ,N/A  ,N/A  ,N/A  ,N/A,1.33m,0.93m,0.35m,N/A,0.06m,02nd Dec 03  ,N/A
51,Yu-Gi-Oh! The Sacred Cards,GBA,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,1.30m,0.94m,0.35m,N/A,0.02m,04th Nov 03  ,N/A
52,Mega Man Battle Network 3 Blue / White Version,GBA,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,1.29m,0.39m,0.02m,0.85m,0.03m,24th Jun 03  ,N/A
53,Pirates of the Caribbean: The Curse of the Black Pearl,GBA,TDK Mediactive  ,Pocket Studios  ,N/A  ,N/A  ,N/A  ,N/A,1.29m,0.93m,0.34m,N/A,0.02m,01st Jul 03  ,N/A
54,Spongebob Squarepants: Battle for Bikini Bottom,GBA,THQ  ,Vicarious Visions  ,N/A  ,N/A  ,N/A  ,N/A,1.23m,0.88m,0.33m,N/A,0.02m,31st Oct 03  ,N/A
55,Donkey Kong Country 2,GBA,Nintendo  ,Rare Ltd.  ,N/A  ,7.6  ,N/A  ,N/A,1.23m,0.79m,0.27m,0.12m,0.04m,15th Nov 04  ,N/A
56,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,GBA,Majesco  ,Majesco Games  ,N/A  ,N/A  ,N/A  ,N/A,1.21m,0.87m,0.32m,N/A,0.02m,09th Oct 07  ,N/A
57,The Simpsons: Road Rage,GBA,THQ  ,Altron  ,N/A  ,N/A  ,N/A  ,N/A,1.19m,0.86m,0.32m,N/A,0.02m,30th Jun 03  ,N/A
58,SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,THQ  ,Vicarious Visions  ,N/A  ,N/A  ,N/A  ,N/A,1.19m,0.92m,0.23m,N/A,0.04m,10th Sep 02  ,N/A
59,Tony Hawk's Pro Skater 2,GBA,Activision  ,Vicarious Visions  ,N/A  ,8.9  ,N/A  ,N/A,1.18m,0.85m,0.31m,N/A,0.02m,30th May 01  ,N/A
60,Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,1.16m,0.84m,0.27m,N/A,0.05m,04th Nov 03  ,N/A
61,LEGO Star Wars: The Video Game,GBA,Eidos Interactive  ,Amaze Entertainment  ,N/A  ,7.4  ,N/A  ,N/A,1.14m,0.82m,0.30m,N/A,0.02m,29th Mar 05  ,N/A
62,Cars,GBA,THQ  ,Helixe  ,N/A  ,4.5  ,N/A  ,N/A,1.13m,0.81m,0.30m,N/A,0.02m,06th Jun 06  ,N/A
63,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,Nintendo  ,ChunSoft  ,N/A  ,N/A  ,N/A  ,N/A,1.13m,0.81m,0.30m,N/A,0.02m,18th Sep 06  ,N/A
64,Golden Sun: The Lost Age,GBA,Nintendo  ,Camelot Software Planning  ,N/A  ,8.3  ,N/A  ,1.12m,N/A,N/A,N/A,N/A,N/A,14th Apr 03  ,N/A
65,"WarioWare, Inc.: Mega MicroGame$",GBA,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,1.10m,N/A,N/A,N/A,N/A,N/A,21st May 03  ,N/A
66,Dragon Ball Z: The Legacy of Goku II,GBA,Atari  ,Webfoot Technologies  ,N/A  ,7.6  ,N/A  ,N/A,1.09m,0.78m,0.29m,N/A,0.02m,17th Jun 03  ,N/A
67,Dragon Ball Z: Taiketsu,GBA,Atari  ,Webfoot Technologies  ,N/A  ,3.8  ,N/A  ,N/A,1.08m,0.77m,0.29m,N/A,0.02m,24th Nov 03  ,N/A
68,Disney's Lilo & Stitch,GBA,Disney Interactive Studios  ,Digital Eclipse  ,N/A  ,8.0  ,N/A  ,N/A,1.08m,0.77m,0.29m,N/A,0.02m,07th Jun 02  ,N/A
69,Spider-Man 2,GBA,Activision  ,Digital Eclipse  ,N/A  ,7.0  ,N/A  ,N/A,1.06m,0.76m,0.28m,N/A,0.02m,29th Jun 04  ,N/A
70,F-Zero: Maximum Velocity,GBA,Nintendo  ,"Nd Cube Co., Ltd.  ",N/A  ,8.7  ,N/A  ,1.05m,N/A,N/A,N/A,N/A,N/A,12th Jun 01  ,N/A
71,Mario Party Advance,GBA,Nintendo  ,Hudson Soft  ,N/A  ,N/A  ,N/A  ,N/A,0.98m,0.50m,0.19m,0.28m,0.02m,28th Mar 05  ,N/A
72,Fire Emblem,GBA,Nintendo  ,Intelligent Systems  ,N/A  ,8.8  ,N/A  ,N/A,0.97m,0.49m,0.18m,0.29m,0.01m,03rd Nov 03  ,N/A
73,Final Fantasy I & II: Dawn of Souls,GBA,Nintendo  ,Square Enix  ,N/A  ,7.1  ,N/A  ,0.94m,N/A,N/A,N/A,N/A,N/A,29th Nov 04  ,N/A
