position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Pokémon Red / Green / Blue Version,GB,Nintendo  ,Game Freak  ,N/A  ,9.4  ,N/A  ,31.38m,N/A,N/A,N/A,N/A,N/A,30th Sep 98  ,N/A
2,Tetris,GB,Nintendo  ,Bullet Proof Software  ,N/A  ,N/A  ,N/A  ,30.26m,N/A,N/A,N/A,N/A,N/A,01st Jun 89  ,N/A
3,Pokémon Gold / Silver Version,GB,Nintendo  ,Game Freak  ,N/A  ,9.2  ,N/A  ,23.10m,N/A,N/A,N/A,N/A,N/A,14th Oct 00  ,N/A
4,Super Mario Land,GB,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,18.14m,N/A,N/A,N/A,N/A,N/A,01st Aug 89  ,N/A
5,Pokémon Yellow: Special Pikachu Edition,GB,Nintendo  ,Game Freak  ,N/A  ,8.7  ,N/A  ,14.64m,N/A,N/A,N/A,N/A,N/A,19th Oct 99  ,N/A
6,Super Mario Land 2: 6 Golden Coins,GB,Nintendo  ,Nintendo R&D1  ,N/A  ,9.0  ,N/A  ,11.18m,N/A,N/A,N/A,N/A,N/A,02nd Nov 92  ,N/A
7,Dr. Mario,GB,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,5.34m,N/A,N/A,N/A,N/A,N/A,01st Dec 90  ,N/A
8,Super Mario Land 3: Wario Land,GB,Nintendo  ,Nintendo R&D1  ,N/A  ,7.9  ,N/A  ,5.19m,N/A,N/A,N/A,N/A,N/A,09th Feb 94  ,N/A
9,Kirby's Dream Land,GB,Nintendo  ,HAL Laboratory  ,N/A  ,N/A  ,N/A  ,5.13m,N/A,N/A,N/A,N/A,N/A,01st Aug 92  ,N/A
10,Super Mario Bros. Deluxe,GB,Nintendo  ,Nintendo EAD  ,N/A  ,9.7  ,N/A  ,5.07m,N/A,N/A,N/A,N/A,N/A,30th Apr 99  ,N/A
11,Donkey Kong Land,GB,Nintendo  ,Rare Ltd.  ,N/A  ,N/A  ,N/A  ,3.91m,N/A,N/A,N/A,N/A,N/A,26th Jul 95  ,N/A
12,The Legend of Zelda: Link's Awakening,GB,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,N/A  ,3.83m,N/A,N/A,N/A,N/A,N/A,01st Aug 93  ,N/A
13,Pokémon Trading Card Game,GB,Nintendo  ,Hudson Soft  ,N/A  ,8.3  ,N/A  ,3.72m,N/A,N/A,N/A,N/A,N/A,10th Apr 00  ,N/A
14,F-1 Race,GB,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,3.41m,N/A,N/A,N/A,N/A,N/A,01st Feb 91  ,N/A
15,Yoshi,GB,Nintendo  ,Game Freak  ,N/A  ,N/A  ,N/A  ,3.12m,N/A,N/A,N/A,N/A,N/A,01st Jul 92  ,N/A
16,Donkey Kong,GB,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,N/A  ,3.07m,N/A,N/A,N/A,N/A,N/A,01st Jun 94  ,N/A
17,Kirby's Dream Land 2,GB,Nintendo  ,HAL Laboratory  ,N/A  ,N/A  ,N/A  ,2.36m,N/A,N/A,N/A,N/A,N/A,01st May 95  ,N/A
18,Donkey Kong Land 2,GB,Nintendo  ,Rare Ltd.  ,N/A  ,N/A  ,N/A  ,2.35m,N/A,N/A,N/A,N/A,N/A,01st Sep 96  ,N/A
19,Dragon Quest Monsters,GB,Eidos Interactive  ,TOSE  ,N/A  ,N/A  ,N/A  ,2.35m,N/A,N/A,N/A,N/A,N/A,31st Dec 99  ,27th Mar 18
20,Wario Land 3,GB,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,2.20m,N/A,N/A,N/A,N/A,N/A,01st May 00  ,N/A
21,Kirby's Pinball Land,GB,Nintendo  ,HAL Laboratory  ,N/A  ,N/A  ,N/A  ,2.19m,N/A,N/A,N/A,N/A,N/A,28th Nov 93  ,N/A
22,Yu-Gi-Oh: Duel Monsters 4,GB,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,2.18m,N/A,N/A,2.17m,0.01m,07th Dec 00  ,N/A
23,Golf,GB,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,2.12m,N/A,N/A,N/A,N/A,N/A,01st Feb 90  ,N/A
24,Tennis,GB,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,1.99m,N/A,N/A,N/A,N/A,N/A,01st Aug 89  ,N/A
