position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Sonic the Hedgehog,GEN,Sega  ,Sonic Team  ,N/A  ,N/A  ,N/A  ,15.00m,N/A,N/A,N/A,N/A,N/A,23rd Jun 91  ,N/A
2,Sonic the Hedgehog 2,GEN,Sega  ,Sonic Team  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,20th Nov 92  ,N/A
3,Disney's Aladdin,GEN,Sega  ,Virgin Interactive  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,11th Nov 93  ,N/A
4,Mortal Kombat,GEN,Arena Entertainment  ,Probe Entertainment Limited  ,N/A  ,N/A  ,N/A  ,N/A,2.67m,1.95m,0.63m,N/A,0.09m,13th Sep 93  ,N/A
5,Streets of Rage,GEN,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,2.60m,1.86m,0.55m,0.11m,0.08m,31st Dec 90  ,N/A
6,Mortal Kombat II (US & Others sales),GEN,Acclaim Entertainment  ,Probe Entertainment Limited  ,N/A  ,N/A  ,N/A  ,N/A,2.39m,1.78m,0.53m,N/A,0.08m,01st Jan 94  ,N/A
7,NBA Jam,GEN,Arena Entertainment  ,Iguana Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,2.05m,1.75m,0.25m,N/A,0.05m,01st Jan 93  ,N/A
8,Sonic & Knuckles,GEN,Sega  ,Sonic Team  ,N/A  ,N/A  ,N/A  ,N/A,1.82m,1.24m,0.43m,0.03m,0.12m,17th Oct 94  ,N/A
9,Sonic the Hedgehog 3,GEN,Sega  ,Sonic Team  ,N/A  ,N/A  ,N/A  ,N/A,1.76m,1.02m,0.47m,0.20m,0.07m,23rd Jan 94  ,N/A
10,Street Fighter II': Special Champion Edition,GEN,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,1.65m,N/A,N/A,N/A,N/A,N/A,27th Sep 93  ,N/A
