position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Super Mario 64,N64,Nintendo  ,Nintendo EAD  ,N/A  ,9.7  ,9.2  ,11.91m,N/A,N/A,N/A,N/A,N/A,26th Sep 96  ,N/A
2,Mario Kart 64,N64,Nintendo  ,Nintendo EAD  ,N/A  ,8.5  ,N/A  ,9.87m,N/A,N/A,N/A,N/A,N/A,10th Feb 97  ,N/A
3,GoldenEye 007,N64,Nintendo  ,Rare Ltd.  ,N/A  ,9.8  ,N/A  ,8.09m,N/A,N/A,N/A,N/A,N/A,25th Aug 97  ,N/A
4,The Legend of Zelda: Ocarina of Time,N64,Nintendo  ,Nintendo EAD  ,N/A  ,9.9  ,10.0  ,7.60m,N/A,N/A,N/A,N/A,N/A,23rd Nov 98  ,N/A
5,Super Smash Bros.,N64,Nintendo  ,HAL Laboratory  ,N/A  ,8.4  ,N/A  ,5.55m,N/A,N/A,N/A,N/A,N/A,26th Apr 99  ,11th Apr 18
6,Pokémon Stadium,N64,Nintendo  ,HAL Laboratory  ,N/A  ,7.5  ,N/A  ,5.46m,N/A,N/A,N/A,N/A,N/A,06th Mar 00  ,N/A
7,Donkey Kong 64,N64,Nintendo  ,Rare Ltd.  ,N/A  ,9.3  ,N/A  ,5.27m,N/A,N/A,N/A,N/A,N/A,22nd Nov 99  ,N/A
8,Diddy Kong Racing,N64,Nintendo  ,Rare Ltd.  ,N/A  ,8.3  ,N/A  ,4.88m,N/A,N/A,N/A,N/A,N/A,24th Nov 97  ,N/A
9,Star Fox 64,N64,Nintendo  ,Nintendo EAD  ,N/A  ,9.0  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,01st Jul 97  ,N/A
10,Banjo-Kazooie,N64,Nintendo  ,Rare Ltd.  ,N/A  ,9.3  ,9.4  ,3.65m,N/A,N/A,N/A,N/A,N/A,31st May 98  ,N/A
11,Pokémon Snap,N64,Nintendo  ,HAL Laboratory  ,N/A  ,7.9  ,N/A  ,3.63m,N/A,N/A,N/A,N/A,N/A,30th Jun 99  ,20th Apr 18
12,The Legend of Zelda: Majora's Mask,N64,Nintendo  ,Nintendo EAD  ,N/A  ,9.3  ,N/A  ,3.36m,N/A,N/A,N/A,N/A,N/A,25th Oct 00  ,N/A
13,Perfect Dark,N64,Rare  ,Rare Ltd.  ,N/A  ,9.7  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,22nd May 00  ,N/A
14,Star Wars Episode I Racer,N64,LucasArts  ,LucasArts  ,N/A  ,8.7  ,N/A  ,3.12m,N/A,N/A,N/A,N/A,N/A,19th May 99  ,N/A
15,Wave Race 64,N64,Nintendo  ,Nintendo EAD  ,N/A  ,9.2  ,N/A  ,2.94m,N/A,N/A,N/A,N/A,N/A,05th Nov 96  ,N/A
16,Yoshi's Story,N64,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,N/A  ,2.85m,N/A,N/A,N/A,N/A,N/A,01st Mar 98  ,N/A
17,Mario Party,N64,Nintendo  ,Hudson Soft  ,N/A  ,7.6  ,N/A  ,2.70m,N/A,N/A,N/A,N/A,N/A,08th Feb 99  ,N/A
18,Star Wars: Shadows of the Empire,N64,Nintendo  ,LucasArts  ,N/A  ,N/A  ,N/A  ,2.65m,N/A,N/A,N/A,N/A,N/A,03rd Dec 96  ,N/A
19,Pokémon Stadium 2,N64,Nintendo  ,HAL Laboratory  ,N/A  ,7.9  ,N/A  ,2.54m,N/A,N/A,N/A,N/A,N/A,28th Mar 01  ,N/A
