position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Super Mario Bros.,NES,Nintendo  ,Nintendo EAD  ,N/A  ,10.0  ,8.2  ,40.24m,N/A,N/A,N/A,N/A,N/A,18th Oct 85  ,N/A
2,Duck Hunt,NES,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,28.31m,N/A,N/A,N/A,N/A,N/A,15th Oct 85  ,N/A
3,Super Mario Bros. 3,NES,Nintendo  ,Nintendo R&D2  ,N/A  ,N/A  ,N/A  ,17.28m,N/A,N/A,N/A,N/A,N/A,12th Feb 90  ,09th Aug 18
4,Super Mario Bros. 2,NES,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,N/A  ,7.46m,N/A,N/A,N/A,N/A,N/A,01st Oct 88  ,N/A
5,The Legend of Zelda,NES,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,N/A  ,6.51m,N/A,N/A,N/A,N/A,N/A,22nd Aug 87  ,N/A
6,Tetris,NES,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,5.58m,N/A,N/A,N/A,N/A,N/A,01st Nov 89  ,N/A
7,Dr. Mario,NES,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,4.85m,N/A,N/A,N/A,N/A,N/A,01st Oct 90  ,N/A
8,Zelda II: The Adventure of Link,NES,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,N/A  ,4.38m,N/A,N/A,N/A,N/A,N/A,01st Sep 88  ,28th Jan 18
9,Teenage Mutant Ninja Turtles,NES,Ultra Games  ,Konami  ,N/A  ,5.9  ,N/A  ,N/A,4.17m,3.38m,0.44m,0.31m,0.04m,01st Jun 89  ,N/A
10,Excitebike,NES,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,4.16m,N/A,N/A,N/A,N/A,N/A,18th Oct 85  ,N/A
11,Golf,NES,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,4.01m,N/A,N/A,N/A,N/A,N/A,18th Oct 85  ,N/A
12,Dragon Quest III,NES,Enix  ,ChunSoft  ,N/A  ,N/A  ,8.0  ,3.90m,N/A,N/A,N/A,N/A,N/A,01st Mar 92  ,27th Mar 18
13,Kung Fu,NES,Nintendo  ,Irem Software Engineering  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,01st Oct 85  ,N/A
14,Baseball,NES,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,01st Oct 85  ,N/A
15,Dragon Quest IV,NES,Enix  ,ChunSoft  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,01st Oct 92  ,27th Mar 18
16,World Class Track Meet,NES,Bandai  ,Bandai  ,N/A  ,N/A  ,N/A  ,3.08m,N/A,N/A,N/A,N/A,N/A,01st Sep 87  ,N/A
17,Mike Tyson's Punch-Out!!,NES,Nintendo  ,Nintendo IRD  ,N/A  ,N/A  ,N/A  ,3.02m,N/A,N/A,N/A,N/A,N/A,01st Oct 87  ,N/A
