position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Mario Kart 8 Deluxe,NS,Nintendo  ,Nintendo EPD  ,N/A  ,9.3  ,N/A  ,33.41m,N/A,N/A,N/A,N/A,N/A,28th Apr 17  ,19th Nov 18
2,Animal Crossing: New Horizons,NS,Nintendo  ,Nintendo  ,8.0  ,N/A  ,N/A  ,31.18m,N/A,N/A,N/A,N/A,N/A,20th Mar 20  ,11th Apr 20
3,Super Smash Bros. Ultimate,NS,Nintendo  ,Bandai Namco Games  ,9.0  ,9.4  ,9.7  ,22.85m,N/A,N/A,N/A,N/A,N/A,07th Dec 18  ,18th Oct 18
4,The Legend of Zelda: Breath of the Wild,NS,Nintendo  ,Nintendo EPD  ,N/A  ,9.9  ,10.0  ,21.45m,N/A,N/A,N/A,N/A,N/A,03rd Mar 17  ,19th Nov 18
5,Pokémon Sword / Shield,NS,Nintendo  ,Game Freak  ,7.0  ,N/A  ,N/A  ,20.35m,N/A,N/A,N/A,N/A,N/A,15th Nov 19  ,21st Nov 19
6,Super Mario Odyssey,NS,Nintendo  ,Nintendo EPD  ,N/A  ,9.9  ,N/A  ,20.23m,N/A,N/A,N/A,N/A,N/A,27th Oct 17  ,19th Nov 18
7,Super Mario Party,NS,Nintendo  ,"Nd Cube Co., Ltd.  ",7.0  ,7.3  ,N/A  ,13.82m,N/A,N/A,N/A,N/A,N/A,05th Oct 18  ,19th Nov 18
8,"Pokémon: Let's Go, Pikachu/Eevee",NS,Nintendo  ,Game Freak  ,N/A  ,N/A  ,N/A  ,13.00m,N/A,N/A,N/A,N/A,N/A,16th Nov 18  ,31st Jan 19
9,Splatoon 2,NS,Nintendo  ,Nintendo EPD  ,N/A  ,8.2  ,N/A  ,11.90m,N/A,N/A,N/A,N/A,N/A,21st Jul 17  ,19th Nov 18
10,New Super Mario Bros. U Deluxe,NS,Nintendo  ,Nintendo EPD  ,N/A  ,N/A  ,6.6  ,9.82m,N/A,N/A,N/A,N/A,N/A,11th Jan 19  ,02nd Aug 20
11,Luigi's Mansion 3,NS,Nintendo  ,"Next Level Games, Inc.  ",6.0  ,N/A  ,N/A  ,9.13m,N/A,N/A,N/A,N/A,N/A,31st Oct 19  ,03rd Aug 20
12,Ring Fit Adventure,NS,Nintendo  ,Nintendo EPD  ,N/A  ,N/A  ,N/A  ,8.68m,N/A,N/A,N/A,N/A,N/A,18th Oct 19  ,18th Oct 19
13,Super Mario 3D All-Stars,NS,Nintendo  ,Nintendo  ,7.0  ,N/A  ,N/A  ,8.32m,N/A,N/A,N/A,N/A,N/A,18th Sep 20  ,04th Sep 20
14,Super Mario Maker 2,NS,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,6.91m,N/A,N/A,N/A,N/A,N/A,28th Jun 19  ,24th Apr 19
