position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Marvel's Spider-Man,PS4,Sony Interactive Entertainment  ,Insomniac Games  ,8.0  ,9.1  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,07th Sep 18  ,26th Sep 18
2,Grand Theft Auto V,PS4,Rockstar Games  ,Rockstar North  ,N/A  ,9.7  ,N/A  ,N/A,19.39m,6.06m,9.71m,0.60m,3.02m,18th Nov 14  ,03rd Jan 18
3,Uncharted 4: A Thief's End,PS4,Sony Interactive Entertainment  ,Naughty Dog  ,N/A  ,9.2  ,N/A  ,16.25m,N/A,N/A,N/A,N/A,N/A,10th May 16  ,23rd Sep 18
4,Call of Duty: Black Ops 3,PS4,Activision  ,Treyarch  ,N/A  ,N/A  ,N/A  ,N/A,15.09m,6.18m,6.05m,0.41m,2.44m,06th Nov 15  ,14th Jan 18
5,Red Dead Redemption 2,PS4,Rockstar Games  ,Rockstar Games  ,8.0  ,9.8  ,N/A  ,N/A,13.94m,5.26m,6.21m,0.21m,2.26m,26th Oct 18  ,02nd Nov 18
6,Call of Duty: WWII,PS4,Activision  ,Sledgehammer Games  ,N/A  ,8.0  ,N/A  ,N/A,13.40m,4.67m,6.21m,0.40m,2.12m,03rd Nov 17  ,31st Dec 17
7,FIFA 18,PS4,EA Sports  ,EA Vancouver  ,N/A  ,8.3  ,N/A  ,N/A,11.80m,1.27m,8.64m,0.15m,1.73m,29th Sep 17  ,02nd Apr 18
8,The Last of Us Remastered,PS4,Sony Computer Entertainment  ,Naughty Dog  ,N/A  ,9.5  ,N/A  ,11.78m,N/A,N/A,N/A,N/A,N/A,29th Jul 14  ,24th Sep 18
9,God of War (2018),PS4,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,9.0  ,9.7  ,10.0  ,11.00m,N/A,N/A,N/A,N/A,N/A,20th Apr 18  ,03rd Dec 18
10,FIFA 17,PS4,Electronic Arts  ,EA Canada  ,N/A  ,8.9  ,N/A  ,N/A,10.94m,1.26m,7.95m,0.12m,1.61m,27th Sep 16  ,28th Mar 18
11,The Witcher 3: Wild Hunt,PS4,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,10.80m,N/A,N/A,N/A,N/A,N/A,19th May 15  ,04th May 18
12,Horizon: Zero Dawn,PS4,Sony Interactive Entertainment  ,Guerrilla Games  ,N/A  ,9.1  ,8.0  ,10.00m,N/A,N/A,N/A,N/A,N/A,28th Feb 17  ,24th Sep 20
13,Call of Duty: Black Ops IIII,PS4,Activision  ,Treyarch  ,N/A  ,N/A  ,N/A  ,N/A,9.32m,4.05m,3.28m,0.50m,1.49m,12th Oct 18  ,07th Nov 18
14,FIFA 19,PS4,Electronic Arts  ,EA Sports  ,N/A  ,N/A  ,N/A  ,N/A,9.15m,0.84m,6.87m,0.10m,1.34m,28th Sep 18  ,12th Sep 18
15,Call of Duty: Infinite Warfare,PS4,Activision  ,Infinity Ward  ,N/A  ,N/A  ,N/A  ,N/A,8.48m,3.11m,3.83m,0.19m,1.36m,04th Nov 16  ,14th Jan 18
16,Fallout 4,PS4,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,8.6  ,N/A  ,N/A,8.48m,2.91m,3.97m,0.27m,1.34m,10th Nov 15  ,24th Mar 18
17,FIFA 16,PS4,EA Sports  ,EA Canada  ,N/A  ,8.5  ,N/A  ,N/A,8.22m,1.15m,5.77m,0.07m,1.23m,22nd Sep 15  ,01st Apr 18
18,Star Wars Battlefront (2015),PS4,Electronic Arts  ,EA DICE  ,N/A  ,7.1  ,N/A  ,N/A,8.03m,3.31m,3.19m,0.23m,1.30m,17th Nov 15  ,24th Mar 18
19,Call of Duty: Advanced Warfare,PS4,Activision  ,Sledgehammer Games  ,N/A  ,8.5  ,N/A  ,N/A,7.53m,2.84m,3.34m,0.14m,1.22m,04th Nov 14  ,04th Jan 18
