position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Grand Theft Auto: Liberty City Stories,PSP,Rockstar Games  ,Rockstar Leeds  ,N/A  ,8.8  ,N/A  ,N/A,7.72m,2.90m,2.83m,0.24m,1.74m,25th Oct 05  ,N/A
2,Grand Theft Auto: Vice City Stories,PSP,Rockstar Games  ,Rockstar Leeds  ,N/A  ,8.4  ,N/A  ,N/A,5.08m,1.70m,2.03m,0.16m,1.19m,31st Oct 06  ,N/A
3,Monster Hunter Freedom 3,PSP,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,4.90m,N/A,N/A,N/A,N/A,N/A,01st Dec 10  ,08th Jan 19
4,Gran Turismo,PSP,Sony Computer Entertainment  ,Polyphony Digital  ,7.5  ,7.7  ,9.5  ,4.67m,N/A,N/A,N/A,N/A,N/A,01st Oct 09  ,N/A
5,Monster Hunter Freedom Unite,PSP,Capcom  ,Capcom Production Studio 1  ,N/A  ,7.7  ,9.7  ,3.80m,N/A,N/A,N/A,N/A,N/A,23rd Jun 09  ,N/A
6,Ratchet & Clank: Size Matters,PSP,Sony Computer Entertainment  ,High Impact Games  ,N/A  ,8.5  ,N/A  ,N/A,3.75m,1.40m,1.40m,0.10m,0.86m,13th Feb 07  ,N/A
7,Midnight Club 3: DUB Edition,PSP,Rockstar Games  ,Rockstar Leeds  ,N/A  ,7.2  ,N/A  ,N/A,3.66m,1.65m,1.22m,N/A,0.79m,27th Jun 05  ,N/A
8,Tekken: Dark Resurrection,PSP,Namco Bandai  ,8ing/Raizing  ,8.9  ,8.7  ,N/A  ,3.37m,N/A,N/A,N/A,N/A,N/A,25th Jul 06  ,N/A
9,Gran Turismo (PSP),PSP,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,N/A  ,N/A  ,N/A,3.27m,0.51m,1.59m,0.31m,0.86m,01st Oct 09  ,03rd Jan 18
10,God of War: Chains of Olympus,PSP,Sony Computer Entertainment  ,Ready at Dawn  ,7.9  ,8.9  ,9.5  ,3.26m,N/A,N/A,N/A,N/A,N/A,04th Mar 08  ,N/A
11,Medal of Honor Heroes,PSP,Electronic Arts  ,Team Fusion  ,N/A  ,6.7  ,N/A  ,N/A,2.66m,0.86m,1.11m,0.01m,0.67m,20th Oct 06  ,N/A
12,LittleBigPlanet,PSP,Sony Computer Entertainment  ,SCEE Cambridge  ,N/A  ,8.8  ,N/A  ,N/A,2.61m,0.65m,1.27m,0.01m,0.68m,17th Nov 09  ,03rd Dec 18
13,Crisis Core: Final Fantasy VII,PSP,Square Enix  ,Square Enix  ,8.5  ,8.1  ,9.0  ,2.50m,N/A,N/A,N/A,N/A,N/A,25th Mar 08  ,N/A
14,Need for Speed Carbon: Own the City,PSP,Electronic Arts  ,EA Black Box  ,N/A  ,7.4  ,N/A  ,N/A,2.42m,0.87m,0.97m,N/A,0.58m,31st Oct 06  ,N/A
15,Monster Hunter Freedom 2,PSP,Capcom  ,Capcom  ,N/A  ,7.6  ,N/A  ,2.40m,N/A,N/A,N/A,N/A,N/A,29th Aug 07  ,N/A
16,Daxter,PSP,Sony Computer Entertainment  ,Ready at Dawn  ,N/A  ,8.6  ,N/A  ,2.30m,N/A,N/A,N/A,N/A,N/A,14th Mar 06  ,N/A
17,Call of Duty: Roads to Victory,PSP,Activision  ,Amaze Entertainment  ,N/A  ,6.1  ,N/A  ,N/A,2.14m,0.52m,1.03m,N/A,0.59m,13th Mar 07  ,N/A
18,Need for Speed: Most Wanted 5-1-0,PSP,Electronic Arts  ,EA Black Box  ,N/A  ,7.4  ,N/A  ,N/A,2.09m,1.77m,0.13m,0.02m,0.17m,15th Nov 05  ,N/A
19,Metal Gear Solid: Peace Walker,PSP,Konami  ,Kojima Productions  ,N/A  ,8.6  ,N/A  ,N/A,2.08m,0.46m,0.42m,0.96m,0.25m,08th Jun 10  ,N/A
20,Hot Shots Golf: Open Tee,PSP,Sony Computer Entertainment  ,Clap Hanz  ,N/A  ,8.4  ,N/A  ,N/A,1.96m,0.50m,0.50m,0.63m,0.33m,03rd May 05  ,N/A
21,Dissidia: Final Fantasy,PSP,Square Enix  ,Square Enix  ,8.9  ,8.1  ,10.0  ,1.90m,N/A,N/A,N/A,N/A,N/A,25th Aug 09  ,N/A
22,Kingdom Hearts: Birth by Sleep,PSP,Square Enix  ,Square Enix  ,N/A  ,7.9  ,N/A  ,1.70m,N/A,N/A,N/A,N/A,N/A,07th Sep 10  ,N/A
23,Star Wars Battlefront: Renegade Squadron,PSP,LucasArts  ,Rebellion Developments  ,N/A  ,7.5  ,N/A  ,N/A,1.68m,0.90m,0.47m,N/A,0.32m,09th Oct 07  ,N/A
24,Sonic Rivals 2,PSP,Sega  ,Backbone Entertainment  ,N/A  ,6.4  ,N/A  ,N/A,1.52m,0.44m,0.70m,N/A,0.37m,13th Nov 07  ,N/A
25,Sega Genesis Collection,PSP,Sega  ,Sega  ,N/A  ,8.3  ,N/A  ,N/A,1.45m,0.53m,0.58m,N/A,0.34m,16th Nov 06  ,N/A
26,Sonic Rivals,PSP,Sega  ,Backbone Entertainment  ,N/A  ,7.0  ,N/A  ,N/A,1.44m,0.73m,0.43m,N/A,0.28m,16th Nov 06  ,N/A
27,LEGO Star Wars II: The Original Trilogy,PSP,LucasArts  ,Traveller's Tales  ,N/A  ,8.4  ,N/A  ,N/A,1.41m,0.58m,0.51m,N/A,0.32m,12th Sep 06  ,N/A
28,The Sims 2,PSP,Electronic Arts  ,Maxis  ,N/A  ,6.2  ,N/A  ,N/A,1.38m,0.49m,0.56m,N/A,0.33m,07th Dec 05  ,N/A
29,FIFA Soccer 08,PSP,EA Sports  ,EA Canada  ,N/A  ,7.9  ,N/A  ,N/A,1.35m,0.20m,0.76m,N/A,0.39m,08th Oct 07  ,N/A
30,FIFA Soccer 09,PSP,EA Sports  ,EA Canada  ,N/A  ,8.1  ,N/A  ,N/A,1.35m,0.23m,0.73m,0.02m,0.37m,14th Oct 08  ,N/A
31,Need for Speed Underground Rivals,PSP,Electronic Arts  ,Team Fusion  ,N/A  ,7.6  ,N/A  ,N/A,1.32m,0.69m,0.38m,0.02m,0.24m,14th Mar 05  ,N/A
32,LEGO Batman: The Videogame,PSP,Warner Bros. Interactive  ,Traveller's Tales  ,7.1  ,7.9  ,N/A  ,N/A,1.30m,0.57m,0.46m,N/A,0.27m,23rd Sep 08  ,N/A
33,Monster Hunter Freedom,PSP,Capcom  ,Capcom  ,N/A  ,7.0  ,N/A  ,1.30m,N/A,N/A,N/A,N/A,N/A,23rd May 06  ,N/A
34,Assassin's Creed: Bloodlines,PSP,Ubisoft  ,Griptonite Studio  ,5.4  ,6.3  ,N/A  ,N/A,1.26m,0.43m,0.50m,0.05m,0.28m,17th Nov 09  ,N/A
35,Star Wars Battlefront II,PSP,LucasArts  ,Savage Entertainment  ,N/A  ,6.9  ,N/A  ,N/A,1.22m,1.05m,0.06m,0.01m,0.10m,01st Nov 05  ,N/A
36,FIFA 07 Soccer,PSP,EA Sports  ,EA Canada  ,N/A  ,8.0  ,N/A  ,N/A,1.21m,0.25m,0.64m,N/A,0.32m,17th Oct 06  ,N/A
37,Cars,PSP,THQ  ,Locomotive Games  ,N/A  ,7.4  ,N/A  ,N/A,1.21m,0.72m,0.28m,N/A,0.20m,06th Jun 06  ,N/A
38,FIFA Soccer 11,PSP,EA Sports  ,HB Studios  ,N/A  ,7.0  ,N/A  ,N/A,1.21m,0.13m,0.70m,0.01m,0.36m,28th Sep 10  ,N/A
39,World Soccer Winning Eleven 9 (JP & Others sales),PSP,Konami  ,Konami Computer Entertainment Tokyo  ,N/A  ,8.0  ,N/A  ,N/A,1.20m,0.01m,0.88m,0.31m,N/A,07th Feb 06  ,N/A
40,God of War: Ghost of Sparta,PSP,Sony Computer Entertainment  ,Ready at Dawn  ,N/A  ,8.3  ,N/A  ,1.20m,N/A,N/A,N/A,N/A,N/A,02nd Nov 10  ,N/A
