position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Minecraft,PSV,Sony Computer Entertainment America  ,4J Studios  ,N/A  ,N/A  ,N/A  ,N/A,2.47m,0.22m,0.73m,1.25m,0.27m,11th Nov 14  ,05th Aug 18
2,Call of Duty Black Ops: Declassified,PSV,Activision  ,Nihilistic  ,N/A  ,N/A  ,N/A  ,N/A,1.71m,0.74m,0.52m,0.07m,0.38m,13th Nov 12  ,24th Sep 18
3,Uncharted: Golden Abyss,PSV,Sony Computer Entertainment  ,SCEA Bend Studio / Naughty Dog  ,N/A  ,7.9  ,N/A  ,N/A,1.62m,0.53m,0.71m,0.13m,0.25m,15th Feb 12  ,N/A
4,Persona 4 Golden,PSV,Atlus  ,Atlus  ,N/A  ,N/A  ,N/A  ,1.50m,N/A,N/A,N/A,N/A,N/A,20th Nov 12  ,11th Jan 18
5,Assassin's Creed III: Liberation,PSV,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A,1.48m,0.53m,0.57m,0.06m,0.32m,30th Oct 12  ,12th Sep 18
6,LittleBigPlanet PS Vita,PSV,Sony Computer Entertainment  ,Media Molecule  ,N/A  ,N/A  ,N/A  ,N/A,1.38m,0.36m,0.69m,0.02m,0.31m,25th Sep 12  ,06th Apr 18
7,Need for Speed: Most Wanted (2012),PSV,Electronic Arts  ,Criterion Games  ,N/A  ,N/A  ,N/A  ,N/A,1.12m,0.33m,0.53m,0.01m,0.25m,30th Oct 12  ,19th Dec 18
8,Killzone: Mercenary,PSV,Sony Computer Entertainment America  ,Guerrilla Games  ,N/A  ,N/A  ,N/A  ,N/A,0.92m,0.20m,0.47m,0.04m,0.20m,10th Sep 13  ,03rd Jan 18
9,Final Fantasy X / X-2 HD Remaster,PSV,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,N/A,0.86m,0.16m,0.29m,0.28m,0.13m,18th Mar 14  ,22nd Mar 19
10,Mortal Kombat (2011),PSV,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,N/A  ,8.8  ,N/A  ,N/A,0.71m,0.42m,0.15m,N/A,0.15m,02nd May 12  ,06th Jan 18
11,Borderlands 2,PSV,2K Games  ,Gearbox Software  ,N/A  ,N/A  ,N/A  ,N/A,0.68m,0.33m,0.18m,0.01m,0.16m,06th May 14  ,06th Apr 18
12,FIFA 15,PSV,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,0.66m,0.09m,0.38m,0.06m,0.13m,23rd Sep 14  ,23rd Mar 18
