position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Gran Turismo,PS,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,9.5  ,N/A  ,10.85m,N/A,N/A,N/A,N/A,N/A,30th Apr 98  ,N/A
2,Final Fantasy VII,PS,Sony Computer Entertainment  ,SquareSoft  ,N/A  ,9.6  ,9.5  ,9.90m,N/A,N/A,N/A,N/A,N/A,03rd Sep 97  ,23rd Mar 19
3,Gran Turismo 2,PS,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,9.2  ,N/A  ,9.37m,N/A,N/A,N/A,N/A,N/A,17th Jan 99  ,N/A
4,Final Fantasy VIII,PS,Square EA  ,SquareSoft  ,N/A  ,9.4  ,N/A  ,8.60m,N/A,N/A,N/A,N/A,N/A,07th Sep 99  ,N/A
5,Tekken 3,PS,Namco  ,Namco  ,N/A  ,9.6  ,N/A  ,8.36m,N/A,N/A,N/A,N/A,N/A,29th Apr 98  ,N/A
6,Harry Potter and the Sorcerer's Stone,PS,Electronic Arts  ,Argonaut Games  ,N/A  ,8.0  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,15th Nov 01  ,N/A
7,Crash Bandicoot,PS,Sony Computer Entertainment  ,Naughty Dog  ,N/A  ,7.8  ,N/A  ,6.82m,N/A,N/A,N/A,N/A,N/A,01st Sep 96  ,N/A
8,Driver,PS,GT Interactive  ,Reflections Interactive  ,N/A  ,8.5  ,N/A  ,N/A,6.27m,3.11m,2.80m,0.02m,0.33m,30th Jun 99  ,N/A
9,Metal Gear Solid,PS,Konami  ,Konami Computer Entertainment Japan  ,N/A  ,9.3  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,21st Oct 98  ,N/A
10,Tekken 2,PS,Namco  ,Namco  ,N/A  ,9.1  ,N/A  ,N/A,5.74m,2.26m,1.89m,1.36m,0.23m,25th Aug 96  ,N/A
11,Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment  ,Naughty Dog  ,N/A  ,9.3  ,N/A  ,5.70m,N/A,N/A,N/A,N/A,N/A,31st Oct 98  ,24th Sep 18
12,Final Fantasy IX,PS,Square  ,SquareSoft  ,N/A  ,9.2  ,N/A  ,5.50m,N/A,N/A,N/A,N/A,N/A,13th Nov 00  ,N/A
13,Tomb Raider II,PS,Eidos Interactive  ,Core Design Ltd.  ,N/A  ,7.6  ,N/A  ,N/A,5.24m,2.30m,2.46m,0.20m,0.28m,31st Oct 97  ,N/A
14,Tony Hawk's Pro Skater,PS,Activision  ,Neversoft Entertainment  ,N/A  ,9.6  ,N/A  ,N/A,5.02m,3.42m,1.38m,0.02m,0.20m,31st Aug 99  ,N/A
15,Warzone 2100,PS,Eidos Interactive  ,Pumpkin Studios  ,N/A  ,N/A  ,N/A  ,N/A,5.01m,2.79m,1.89m,N/A,0.33m,31st May 99  ,N/A
16,Resident Evil 2,PS,Capcom  ,Capcom  ,N/A  ,9.3  ,N/A  ,4.96m,N/A,N/A,N/A,N/A,N/A,21st Jan 98  ,N/A
17,Spyro the Dragon,PS,Sony Computer Entertainment  ,Insomniac Games  ,N/A  ,8.7  ,N/A  ,4.83m,N/A,N/A,N/A,N/A,N/A,10th Sep 98  ,N/A
18,Crash Team Racing,PS,Sony Computer Entertainment  ,Naughty Dog  ,N/A  ,9.2  ,N/A  ,N/A,4.79m,2.57m,1.57m,0.44m,0.21m,30th Sep 99  ,N/A
19,Driver 2,PS,Atari  ,Reflections Interactive  ,N/A  ,7.0  ,N/A  ,N/A,4.73m,2.36m,2.10m,0.02m,0.25m,13th Nov 00  ,N/A
20,Tony Hawk's Pro Skater 2,PS,Activision  ,Neversoft Entertainment  ,N/A  ,9.3  ,N/A  ,N/A,4.68m,3.05m,1.41m,0.02m,0.20m,20th Sep 00  ,N/A
21,Tomb Raider,PS,Eidos Interactive  ,Core Design Ltd.  ,N/A  ,8.9  ,N/A  ,N/A,4.63m,2.29m,1.97m,0.13m,0.24m,14th Nov 96  ,N/A
22,Dragon Quest VII,PS,Enix  ,Heart Beat  ,N/A  ,8.0  ,3.0  ,4.30m,N/A,N/A,N/A,N/A,N/A,01st Nov 01  ,27th Mar 18
23,Frogger,PS,Hasbro Interactive  ,Millenium Interactive  ,N/A  ,N/A  ,N/A  ,N/A,4.16m,3.79m,0.27m,N/A,0.11m,30th Sep 97  ,N/A
24,Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment  ,Naughty Dog  ,N/A  ,8.6  ,N/A  ,4.09m,N/A,N/A,N/A,N/A,N/A,31st Oct 97  ,N/A
25,Namco Museum Vol.3,PS,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,N/A,4.05m,2.28m,1.55m,0.16m,0.06m,31st Jan 97  ,N/A
26,Namco Museum Vol.1,PS,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,N/A,3.84m,2.12m,1.44m,0.22m,0.06m,31st Jul 96  ,N/A
27,WWF SmackDown!,PS,THQ  ,Yuke's  ,N/A  ,N/A  ,N/A  ,N/A,3.58m,2.01m,1.35m,0.06m,0.16m,01st Mar 00  ,N/A
28,Croc: Legend of the Gobbos,PS,Fox Interactive  ,Argonaut Games  ,N/A  ,7.6  ,N/A  ,N/A,3.56m,1.57m,1.79m,N/A,0.20m,29th Sep 97  ,N/A
29,Tomb Raider III: Adventures of Lara Croft,PS,Eidos Interactive  ,Core Design Ltd.  ,N/A  ,8.2  ,N/A  ,N/A,3.54m,1.66m,1.58m,0.12m,0.18m,21st Nov 98  ,N/A
30,Rugrats in Paris: The Movie,PS,THQ  ,Avalanche Software  ,N/A  ,N/A  ,N/A  ,N/A,3.52m,1.96m,1.33m,N/A,0.23m,29th Oct 00  ,N/A
31,Resident Evil 3: Nemesis,PS,Capcom  ,Capcom  ,N/A  ,9.4  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,11th Nov 99  ,N/A
32,Spyro 2: Ripto's Rage!,PS,Sony Computer Entertainment  ,Insomniac Games  ,N/A  ,8.7  ,N/A  ,3.45m,N/A,N/A,N/A,N/A,N/A,31st Oct 99  ,N/A
33,Grand Theft Auto 2,PS,Rockstar Games  ,DMA Design  ,N/A  ,6.9  ,N/A  ,N/A,3.42m,1.13m,2.07m,N/A,0.22m,25th Oct 99  ,N/A
34,Crash Bash,PS,Sony Computer Entertainment  ,Eurocom Entertainment Software  ,N/A  ,6.8  ,N/A  ,N/A,3.39m,1.56m,1.47m,0.19m,0.17m,06th Nov 00  ,N/A
35,WWF War Zone,PS,Acclaim Entertainment  ,Iguana Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,3.36m,2.47m,0.76m,N/A,0.13m,14th Jul 98  ,N/A
36,Spyro: Year of the Dragon,PS,Sony Computer Entertainment  ,Insomniac Games  ,N/A  ,9.1  ,N/A  ,3.28m,N/A,N/A,N/A,N/A,N/A,23rd Oct 00  ,N/A
37,007: Tomorrow Never Dies,PS,Electronic Arts  ,Black Ops Entertainment  ,N/A  ,6.2  ,N/A  ,N/A,3.21m,1.72m,1.33m,N/A,0.16m,16th Nov 99  ,N/A
38,WWF SmackDown! 2: Know Your Role,PS,THQ  ,Yuke's  ,N/A  ,8.7  ,N/A  ,N/A,3.20m,1.76m,1.21m,0.07m,0.16m,21st Nov 00  ,N/A
39,Spider-Man,PS,Activision  ,Neversoft Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,3.13m,1.70m,1.25m,0.02m,0.16m,30th Aug 00  ,N/A
40,Need for Speed III: Hot Pursuit,PS,Electronic Arts  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,3.12m,2.14m,0.86m,N/A,0.13m,25th Mar 98  ,N/A
41,Rayman,PS,Ubisoft  ,Ubisoft Montpellier  ,N/A  ,7.0  ,N/A  ,N/A,3.03m,1.54m,1.33m,N/A,0.16m,01st Sep 95  ,N/A
42,Syphon Filter,PS,989 Studios  ,Eidetic  ,N/A  ,9.2  ,N/A  ,N/A,2.88m,2.03m,0.72m,0.02m,0.11m,31st Jan 99  ,N/A
43,Colin McRae Rally,PS,Sony Computer Entertainment  ,Codemasters  ,N/A  ,7.9  ,N/A  ,N/A,2.87m,0.09m,2.43m,0.12m,0.22m,31st Jan 00  ,N/A
44,Hot Shots Golf,PS,Sony Computer Entertainment  ,Camelot Software Planning  ,N/A  ,N/A  ,N/A  ,N/A,2.79m,0.29m,0.20m,2.13m,0.18m,05th May 98  ,N/A
45,A Bug's Life,PS,Sony Computer Entertainment  ,Traveller's Tales  ,N/A  ,3.6  ,N/A  ,N/A,2.79m,1.96m,0.72m,N/A,0.11m,31st Oct 98  ,N/A
46,Mortal Kombat Trilogy,PS,Midway Games  ,Avalanche Software  ,N/A  ,N/A  ,N/A  ,N/A,2.79m,1.98m,0.70m,N/A,0.11m,01st Sep 96  ,N/A
47,Resident Evil,PS,Capcom  ,Capcom  ,N/A  ,8.6  ,N/A  ,2.75m,N/A,N/A,N/A,N/A,N/A,30th Mar 96  ,N/A
48,Medal of Honor,PS,Electronic Arts  ,DreamWorks Interactive  ,N/A  ,9.3  ,N/A  ,N/A,2.67m,1.44m,1.09m,N/A,0.14m,11th Nov 99  ,N/A
