position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Virtua Fighter 2,SAT,Sega  ,Sega-AM2  ,N/A  ,N/A  ,N/A  ,N/A,1.93m,0.34m,0.26m,1.30m,0.03m,01st Jan 96  ,N/A
2,Sega Rally Championship,SAT,Sega  ,Sega-AM3  ,N/A  ,N/A  ,N/A  ,N/A,1.16m,0.21m,0.16m,0.77m,0.02m,05th Dec 95  ,N/A
3,Virtua Fighter,SAT,Sega  ,Sega-AM2  ,N/A  ,9.0  ,N/A  ,N/A,1.07m,0.17m,0.12m,0.77m,0.02m,11th May 95  ,N/A
4,Virtua Cop,SAT,Sega  ,Sega-AM2  ,N/A  ,N/A  ,N/A  ,N/A,0.62m,N/A,N/A,0.62m,N/A,01st Dec 95  ,N/A
5,Fighters MEGAMiX,SAT,Sega  ,Sega-AM2  ,N/A  ,N/A  ,N/A  ,N/A,0.62m,N/A,N/A,0.62m,N/A,30th Apr 97  ,N/A
6,Puyo Puyo Sun,SAT,Compile  ,Compile  ,N/A  ,N/A  ,N/A  ,N/A,0.60m,N/A,N/A,0.60m,N/A,14th Feb 97  ,N/A
7,Daytona USA,SAT,Sega  ,Sega-AM2  ,N/A  ,N/A  ,N/A  ,N/A,0.55m,N/A,N/A,0.55m,N/A,11th May 95  ,N/A
8,Sakura Wars,SAT,Sega  ,Overworks  ,N/A  ,N/A  ,N/A  ,N/A,0.55m,N/A,N/A,0.55m,N/A,27th Sep 96  ,N/A
9,Super Robot Taisen F,SAT,Banpresto  ,Banpresto  ,N/A  ,N/A  ,N/A  ,N/A,0.55m,N/A,N/A,0.55m,0.00m,25th Sep 97  ,N/A
10,Super Robot Taisen F Kanketsuhen,SAT,Banpresto  ,Banpresto  ,N/A  ,N/A  ,N/A  ,N/A,0.55m,N/A,N/A,0.55m,0.00m,23rd Apr 98  ,N/A
11,"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",SAT,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,0.53m,N/A,N/A,0.53m,0.00m,04th Apr 98  ,N/A
12,J-League Pro Soccer Club wo Tsukurou! 2,SAT,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,0.49m,N/A,N/A,0.49m,N/A,20th Nov 97  ,N/A
13,Neon Genesis Evangelion,SAT,Sega  ,Gainax  ,N/A  ,N/A  ,N/A  ,N/A,0.44m,N/A,N/A,0.44m,N/A,01st Mar 96  ,N/A
14,NiGHTS into dreams...,SAT,Sega  ,Sonic Team  ,N/A  ,9.1  ,N/A  ,N/A,0.43m,N/A,N/A,0.43m,0.00m,01st Aug 96  ,N/A
15,Neon Genesis Evangelion 2nd Impression,SAT,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,0.42m,N/A,N/A,0.42m,0.00m,07th Mar 97  ,N/A
16,Grandia,SAT,ESP  ,Game Arts  ,N/A  ,8.7  ,N/A  ,N/A,0.42m,N/A,N/A,0.42m,N/A,18th Dec 97  ,N/A
17,Cyber Troopers Virtual-On,SAT,Sega  ,Sega-AM3  ,N/A  ,N/A  ,N/A  ,N/A,0.42m,N/A,N/A,0.42m,N/A,30th Nov 96  ,N/A
18,Mobile Suit Gundam,SAT,Bandai  ,CRI  ,N/A  ,N/A  ,N/A  ,N/A,0.41m,N/A,N/A,0.41m,N/A,22nd Dec 95  ,N/A
19,E0: Enemy Zero,SAT,Sega  ,Warp  ,N/A  ,N/A  ,N/A  ,N/A,0.41m,N/A,N/A,0.41m,0.00m,31st Oct 97  ,N/A
20,Fighting Vipers,SAT,Sega  ,Sega-AM2  ,N/A  ,8.0  ,N/A  ,N/A,0.40m,N/A,N/A,0.40m,0.00m,30th Nov 96  ,N/A
21,Shin Megami Tensei: Devil Summoner,SAT,Atlus  ,Atlus Co.  ,N/A  ,N/A  ,N/A  ,N/A,0.38m,N/A,N/A,0.38m,N/A,25th Dec 95  ,N/A
22,Tokimeki Memorial: Forever with You,SAT,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,0.38m,N/A,N/A,0.38m,N/A,19th Jul 96  ,N/A
23,Panzer Dragoon,SAT,Sega  ,Team Andromeda  ,N/A  ,N/A  ,N/A  ,N/A,0.37m,N/A,N/A,0.37m,N/A,11th May 95  ,N/A
24,Nonomura Byoin no Hitobito,SAT,Elf  ,Elf  ,N/A  ,N/A  ,N/A  ,N/A,0.36m,N/A,N/A,0.36m,0.00m,26th Apr 96  ,N/A
25,Street Fighter Alpha: Warriors' Dreams,SAT,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,0.35m,N/A,N/A,0.35m,N/A,06th Jun 96  ,N/A
26,Iron Storm,SAT,Working Designs  ,SystemSoft  ,N/A  ,N/A  ,N/A  ,N/A,0.34m,N/A,N/A,0.34m,0.00m,01st Jan 96  ,N/A
27,Night Warriors: Darkstalkers' Revenge,SAT,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,0.34m,N/A,N/A,0.34m,0.00m,22nd Feb 96  ,N/A
28,Street Fighter Alpha 2,SAT,Capcom  ,Capcom  ,N/A  ,8.1  ,N/A  ,N/A,0.32m,N/A,N/A,0.32m,N/A,30th Sep 96  ,N/A
29,Panzer Dragoon II Zwei,SAT,Sega  ,Team Andromeda  ,N/A  ,N/A  ,N/A  ,N/A,0.31m,N/A,N/A,0.31m,0.00m,01st Jan 96  ,N/A
30,Devil Summoner: Soul Hackers,SAT,Atlus  ,Atlus Co.  ,N/A  ,N/A  ,N/A  ,N/A,0.31m,N/A,N/A,0.31m,N/A,13th Nov 97  ,N/A
31,Virtua Cop 2,SAT,Sega  ,Sega-AM2  ,N/A  ,N/A  ,N/A  ,N/A,0.30m,N/A,N/A,0.30m,N/A,30th Nov 96  ,N/A
