position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Super Mario World,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,8.5  ,N/A  ,20.61m,N/A,N/A,N/A,N/A,N/A,13th Aug 91  ,10th Aug 18
2,Super Mario All-Stars,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,9.5  ,10.55m,N/A,N/A,N/A,N/A,N/A,01st Aug 93  ,N/A
3,Donkey Kong Country,SNES,Nintendo  ,Rare Ltd.  ,N/A  ,9.0  ,N/A  ,9.30m,N/A,N/A,N/A,N/A,N/A,21st Nov 94  ,N/A
4,Super Mario Kart,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,10.0  ,N/A  ,8.76m,N/A,N/A,N/A,N/A,N/A,01st Sep 92  ,N/A
5,Street Fighter II: The World Warrior,SNES,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,6.30m,N/A,N/A,N/A,N/A,N/A,01st Jul 92  ,N/A
6,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo  ,Rare Ltd.  ,N/A  ,9.3  ,N/A  ,5.15m,N/A,N/A,N/A,N/A,N/A,20th Nov 95  ,N/A
7,The Legend of Zelda: A Link to the Past,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,10.0  ,N/A  ,4.61m,N/A,N/A,N/A,N/A,N/A,13th Apr 92  ,N/A
8,Super Mario World 2: Yoshi's Island,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,9.0  ,N/A  ,4.12m,N/A,N/A,N/A,N/A,N/A,04th Oct 95  ,N/A
9,Street Fighter II Turbo,SNES,Capcom  ,Capcom  ,N/A  ,9.0  ,N/A  ,4.10m,N/A,N/A,N/A,N/A,N/A,01st Aug 93  ,N/A
10,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,Nintendo  ,Rare Ltd.  ,N/A  ,8.8  ,N/A  ,3.51m,N/A,N/A,N/A,N/A,N/A,22nd Nov 96  ,N/A
11,Dragon Quest VI: Maboroshi no Daichi,SNES,Enix  ,Heart Beat  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,09th Dec 95  ,N/A
12,Killer Instinct,SNES,Nintendo  ,Rare Ltd.  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,01st Aug 95  ,N/A
13,Star Fox,SNES,Nintendo  ,Argonaut Games  ,N/A  ,N/A  ,N/A  ,2.99m,N/A,N/A,N/A,N/A,N/A,01st Mar 93  ,N/A
14,Final Fantasy III,SNES,Square  ,SquareSoft  ,N/A  ,9.1  ,N/A  ,2.90m,N/A,N/A,N/A,N/A,N/A,20th Oct 94  ,N/A
15,F-Zero,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,N/A  ,2.85m,N/A,N/A,N/A,N/A,N/A,13th Aug 91  ,N/A
16,Dragon Quest V: Tenkuu no Hanayome,SNES,Enix  ,ChunSoft  ,N/A  ,N/A  ,N/A  ,2.80m,N/A,N/A,N/A,N/A,N/A,27th Sep 92  ,N/A
17,Final Fantasy V,SNES,Square  ,SquareSoft  ,N/A  ,7.5  ,N/A  ,2.40m,N/A,N/A,N/A,N/A,N/A,06th Dec 92  ,N/A
18,Mario Paint,SNES,Nintendo  ,Intelligent Systems  ,N/A  ,N/A  ,N/A  ,2.31m,N/A,N/A,N/A,N/A,N/A,05th May 92  ,N/A
19,Chrono Trigger,SNES,Square  ,SquareSoft  ,N/A  ,8.8  ,N/A  ,2.30m,N/A,N/A,N/A,N/A,N/A,27th Sep 95  ,N/A
20,Super Mario RPG: Legend of the Seven Stars,SNES,Nintendo  ,SquareSoft  ,N/A  ,N/A  ,N/A  ,2.14m,N/A,N/A,N/A,N/A,N/A,13th May 96  ,N/A
21,Super Street Fighter II,SNES,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,2.00m,N/A,N/A,N/A,N/A,N/A,01st Jun 94  ,N/A
22,SimCity,SNES,Nintendo  ,Intelligent Systems  ,N/A  ,N/A  ,N/A  ,1.98m,N/A,N/A,N/A,N/A,N/A,10th Sep 91  ,N/A
23,Mortal Kombat II,SNES,Acclaim Entertainment  ,Sculptured Software  ,N/A  ,N/A  ,N/A  ,N/A,1.93m,1.48m,0.39m,N/A,0.06m,01st Jan 94  ,N/A
24,Secret of Mana,SNES,Square  ,SquareSoft  ,N/A  ,9.1  ,N/A  ,1.83m,N/A,N/A,N/A,N/A,N/A,03rd Oct 93  ,N/A
25,The Lion King,SNES,Virgin Interactive  ,Westwood Studios  ,N/A  ,N/A  ,N/A  ,N/A,1.79m,1.26m,0.39m,0.08m,0.06m,01st Oct 94  ,N/A
26,Disney's Aladdin,SNES,Capcom  ,Capcom/Disney  ,N/A  ,N/A  ,N/A  ,1.75m,N/A,N/A,N/A,N/A,N/A,21st Nov 93  ,N/A
27,Final Fantasy II,SNES,Square  ,Square  ,N/A  ,10.0  ,N/A  ,1.70m,N/A,N/A,N/A,N/A,N/A,23rd Nov 91  ,N/A
28,Super Puyo Puyo,SNES,Banpresto  ,Compile  ,N/A  ,N/A  ,N/A  ,N/A,1.70m,N/A,N/A,1.69m,0.01m,10th Dec 93  ,N/A
29,Super Scope 6,SNES,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,1.65m,N/A,N/A,N/A,N/A,N/A,01st Jan 92  ,N/A
