position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Wii Sports,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,7.7  ,N/A  ,82.90m,N/A,N/A,N/A,N/A,N/A,19th Nov 06  ,N/A
2,Mario Kart Wii,Wii,Nintendo  ,Nintendo EAD  ,8.7  ,8.2  ,9.1  ,37.38m,N/A,N/A,N/A,N/A,N/A,27th Apr 08  ,11th Apr 18
3,Wii Sports Resort,Wii,Nintendo  ,Nintendo EAD  ,8.8  ,8.0  ,8.8  ,33.14m,N/A,N/A,N/A,N/A,N/A,26th Jul 09  ,N/A
4,New Super Mario Bros. Wii,Wii,Nintendo  ,Nintendo EAD  ,9.1  ,8.6  ,9.2  ,30.32m,N/A,N/A,N/A,N/A,N/A,15th Nov 09  ,N/A
5,Wii Play,Wii,Nintendo  ,Nintendo EAD  ,5.3  ,5.9  ,4.5  ,28.02m,N/A,N/A,N/A,N/A,N/A,12th Feb 07  ,N/A
6,Wii Fit,Wii,Nintendo  ,Nintendo EAD  ,8.0  ,7.9  ,N/A  ,22.67m,N/A,N/A,N/A,N/A,N/A,21st May 08  ,N/A
7,Wii Fit Plus,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,8.0  ,N/A  ,21.13m,N/A,N/A,N/A,N/A,N/A,04th Oct 09  ,N/A
8,Super Smash Bros. Brawl,Wii,Nintendo  ,Project Sora  ,9.2  ,9.2  ,9.7  ,13.32m,N/A,N/A,N/A,N/A,N/A,09th Mar 08  ,N/A
9,Super Mario Galaxy,Wii,Nintendo  ,Nintendo EAD Tokyo  ,9.6  ,9.7  ,9.6  ,12.80m,N/A,N/A,N/A,N/A,N/A,12th Nov 07  ,N/A
10,Just Dance 3,Wii,Ubisoft  ,Ubisoft Paris  ,N/A  ,7.5  ,N/A  ,N/A,10.14m,5.95m,3.13m,N/A,1.06m,07th Oct 11  ,N/A
11,Wii Party,Wii,Nintendo  ,"Nd Cube Co., Ltd.  ",N/A  ,7.0  ,N/A  ,9.35m,N/A,N/A,N/A,N/A,N/A,03rd Oct 10  ,N/A
12,Mario Party 8,Wii,Nintendo  ,Hudson Soft  ,N/A  ,6.5  ,N/A  ,8.85m,N/A,N/A,N/A,N/A,N/A,29th May 07  ,N/A
13,Super Mario Galaxy 2,Wii,Nintendo  ,Nintendo EAD Tokyo  ,9.6  ,9.7  ,9.8  ,7.41m,N/A,N/A,N/A,N/A,N/A,23rd May 10  ,N/A
14,The Legend of Zelda: Twilight Princess,Wii,Nintendo  ,Nintendo EAD  ,9.3  ,9.5  ,9.6  ,7.26m,N/A,N/A,N/A,N/A,N/A,19th Nov 06  ,N/A
15,Just Dance 4,Wii,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A,6.89m,4.05m,2.21m,N/A,0.62m,09th Oct 12  ,31st Jan 18
16,Donkey Kong Country Returns,Wii,Nintendo  ,Retro Studios  ,N/A  ,8.6  ,N/A  ,6.53m,N/A,N/A,N/A,N/A,N/A,21st Nov 10  ,N/A
17,Link's Crossbow Training,Wii,Nintendo  ,Nintendo EAD  ,6.9  ,6.9  ,N/A  ,5.79m,N/A,N/A,N/A,N/A,N/A,19th Nov 07  ,N/A
18,LEGO Star Wars: The Complete Saga,Wii,LucasArts  ,Traveller's Tales  ,N/A  ,8.0  ,N/A  ,N/A,5.66m,3.57m,1.57m,N/A,0.52m,06th Nov 07  ,N/A
19,Just Dance 2,Wii,Ubisoft  ,Ubisoft Paris  ,N/A  ,7.3  ,N/A  ,5.25m,N/A,N/A,N/A,N/A,N/A,12th Oct 10  ,N/A
20,Guitar Hero III: Legends of Rock,Wii,RedOctane  ,Vicarious Visions  ,N/A  ,8.6  ,N/A  ,N/A,4.60m,3.04m,1.12m,0.00m,0.44m,28th Oct 07  ,N/A
21,Mario & Sonic at the Olympic Winter Games,Wii,Sega  ,Sega  ,N/A  ,6.8  ,N/A  ,N/A,4.54m,1.87m,1.97m,0.22m,0.48m,13th Oct 09  ,N/A
22,Michael Jackson: The Experience,Wii,Ubisoft  ,Ubisoft Montpellier  ,N/A  ,5.6  ,N/A  ,N/A,4.37m,2.64m,1.33m,0.01m,0.39m,23rd Nov 10  ,N/A
23,Animal Crossing: City Folk,Wii,Nintendo  ,Nintendo EAD  ,6.8  ,7.1  ,8.8  ,4.32m,N/A,N/A,N/A,N/A,N/A,16th Nov 08  ,N/A
24,Just Dance,Wii,Ubisoft  ,Ubisoft Paris  ,N/A  ,5.4  ,N/A  ,4.30m,N/A,N/A,N/A,N/A,N/A,17th Nov 09  ,N/A
25,Super Paper Mario,Wii,Nintendo  ,Intelligent Systems  ,N/A  ,8.5  ,N/A  ,4.23m,N/A,N/A,N/A,N/A,N/A,09th Apr 07  ,N/A
26,Carnival Games,Wii,Global Star Software  ,Cat Daddy Games  ,N/A  ,4.2  ,N/A  ,N/A,4.06m,2.12m,1.47m,0.05m,0.42m,28th Aug 07  ,N/A
27,EA Sports Active,Wii,EA Sports  ,EA Vancouver  ,N/A  ,8.3  ,N/A  ,N/A,3.93m,2.11m,1.35m,0.06m,0.40m,19th May 09  ,N/A
28,Just Dance 2014,Wii,Ubisoft  ,Ubisoft Paris  ,N/A  ,7.4  ,N/A  ,N/A,3.89m,1.91m,1.66m,N/A,0.33m,08th Oct 13  ,08th Mar 18
29,The Legend of Zelda: Skyward Sword,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,9.4  ,N/A  ,3.67m,N/A,N/A,N/A,N/A,N/A,20th Nov 11  ,N/A
30,Guitar Hero: World Tour,Wii,Activision  ,Vicarious Visions  ,N/A  ,8.4  ,N/A  ,N/A,3.62m,2.32m,0.96m,N/A,0.34m,26th Oct 08  ,N/A
31,Big Brain Academy: Wii Degree,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,7.1  ,N/A  ,3.34m,N/A,N/A,N/A,N/A,N/A,11th Jun 07  ,N/A
32,Mario Party 9,Wii,Nintendo  ,"Nd Cube Co., Ltd.  ",N/A  ,6.5  ,N/A  ,3.11m,N/A,N/A,N/A,N/A,N/A,11th Mar 12  ,19th Nov 18
33,LEGO Batman: The Videogame,Wii,Warner Bros. Interactive  ,Traveller's Tales  ,7.5  ,7.3  ,N/A  ,N/A,3.08m,1.80m,0.98m,N/A,0.29m,23rd Sep 08  ,N/A
34,Disney Epic Mickey,Wii,Disney Interactive Studios  ,Junction Point Studios  ,N/A  ,7.0  ,N/A  ,N/A,3.02m,2.04m,0.63m,0.12m,0.23m,30th Nov 10  ,N/A
35,Sonic and the Secret Rings,Wii,Sega  ,Sonic Team  ,N/A  ,6.7  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,20th Feb 07  ,N/A
36,Cooking Mama: Cook Off,Wii,Majesco  ,Office Create  ,N/A  ,5.9  ,N/A  ,N/A,2.89m,1.41m,1.12m,0.05m,0.30m,20th Mar 07  ,N/A
37,Wii Music,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,5.6  ,N/A  ,2.86m,N/A,N/A,N/A,N/A,N/A,20th Oct 08  ,31st May 18
38,Zumba Fitness 2,Wii,Majesco  ,"Pipeworks Software, Inc.  ",N/A  ,N/A  ,N/A  ,N/A,2.83m,1.52m,1.05m,N/A,0.26m,15th Nov 11  ,N/A
39,Skylanders: Spyro's Adventure,Wii,Activision  ,Toys for Bob  ,N/A  ,8.0  ,N/A  ,N/A,2.79m,1.35m,1.15m,N/A,0.30m,16th Oct 11  ,N/A
40,Mario Strikers Charged,Wii,Nintendo  ,Next Level Games  ,N/A  ,7.7  ,N/A  ,2.60m,N/A,N/A,N/A,N/A,N/A,30th Jul 07  ,N/A
41,Skylanders Giants,Wii,Activision  ,Toys for Bob  ,N/A  ,N/A  ,N/A  ,N/A,2.58m,1.49m,0.86m,N/A,0.23m,21st Oct 12  ,16th Jan 18
42,Game Party,Wii,Midway Games  ,JGI Entertainment  ,N/A  ,2.6  ,N/A  ,N/A,2.49m,1.47m,0.77m,N/A,0.24m,27th Nov 07  ,N/A
43,LEGO Harry Potter: Years 1-4,Wii,Warner Bros. Interactive  ,Traveller's Tales  ,N/A  ,7.9  ,N/A  ,N/A,2.45m,1.29m,0.94m,N/A,0.22m,29th Jun 10  ,01st Dec 18
44,uDraw Studio,Wii,THQ  ,"Pipeworks Software, Inc.  ",N/A  ,N/A  ,N/A  ,N/A,2.44m,1.65m,0.58m,N/A,0.21m,14th Nov 10  ,N/A
45,Mario & Sonic at the London 2012 Olympic Games,Wii,Sega  ,Sega  ,N/A  ,6.8  ,N/A  ,2.39m,N/A,N/A,N/A,N/A,N/A,15th Nov 11  ,N/A
46,WarioWare: Smooth Moves,Wii,Nintendo  ,Intelligent Systems  ,8.1  ,8.2  ,N/A  ,2.35m,N/A,N/A,N/A,N/A,N/A,15th Jan 07  ,N/A
47,LEGO Indiana Jones: The Original Adventures,Wii,LucasArts  ,Traveller's Tales  ,N/A  ,7.8  ,N/A  ,N/A,2.35m,1.51m,0.62m,N/A,0.22m,03rd Jun 08  ,N/A
48,My Fitness Coach,Wii,Ubisoft  ,Ubisoft  ,N/A  ,7.1  ,N/A  ,N/A,2.32m,1.18m,0.90m,N/A,0.24m,02nd Dec 08  ,N/A
49,Mario Super Sluggers,Wii,Nintendo  ,Bandai Namco Games / NOW Production  ,N/A  ,6.7  ,N/A  ,2.32m,N/A,N/A,N/A,N/A,N/A,25th Aug 08  ,N/A
50,Just Dance Kids,Wii,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,N/A  ,N/A,2.25m,1.52m,0.54m,N/A,0.19m,09th Nov 10  ,N/A
51,Call of Duty 3,Wii,Activision  ,EXAKT Entertainment  ,N/A  ,6.8  ,7.3  ,N/A,2.24m,1.17m,0.84m,N/A,0.23m,14th Nov 06  ,N/A
52,Super Mario All-Stars: Limited Edition,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,7.2  ,N/A  ,2.24m,N/A,N/A,N/A,N/A,N/A,12th Dec 10  ,N/A
53,Skylanders SWAP Force,Wii,Activision  ,Beenox  ,N/A  ,N/A  ,N/A  ,N/A,2.19m,1.23m,0.77m,N/A,0.19m,13th Oct 13  ,16th Jan 18
54,Your Shape featuring Jenny McCarthy,Wii,Ubisoft  ,Ubisoft  ,N/A  ,6.0  ,N/A  ,N/A,2.16m,1.50m,0.46m,N/A,0.19m,24th Nov 09  ,N/A
55,Mario & Sonic at the Olympic Games,Wii,Sega  ,Sega  ,N/A  ,7.2  ,N/A  ,2.14m,N/A,N/A,N/A,N/A,N/A,06th Nov 07  ,N/A
56,Just Dance 2015,Wii,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,N/A  ,N/A,2.09m,1.00m,0.91m,N/A,0.18m,21st Oct 14  ,03rd Apr 18
57,Rock Band,Wii,MTV Games  ,Harmonix Music Systems  ,N/A  ,8.2  ,N/A  ,N/A,2.08m,1.33m,0.56m,N/A,0.20m,22nd Jun 08  ,N/A
58,Wipeout: The Game,Wii,Activision  ,Endemol  ,N/A  ,N/A  ,N/A  ,N/A,2.08m,1.94m,N/A,N/A,0.14m,22nd Jun 10  ,N/A
59,Dance Dance Revolution: Hottest Party,Wii,Konami  ,Bemani  ,N/A  ,N/A  ,N/A  ,N/A,2.07m,1.35m,0.53m,N/A,0.19m,25th Sep 07  ,N/A
60,Rayman Raving Rabbids: TV Party,Wii,Ubisoft  ,Ubisoft Paris  ,7.9  ,7.1  ,N/A  ,N/A,2.03m,0.72m,1.08m,N/A,0.23m,18th Nov 08  ,N/A
61,Deca Sports,Wii,Hudson Soft  ,CAProduction  ,N/A  ,5.3  ,N/A  ,2.00m,N/A,N/A,N/A,N/A,N/A,13th May 08  ,N/A
62,Resident Evil 4,Wii,Capcom  ,Capcom Production Studio 4  ,9.0  ,9.2  ,9.7  ,2.00m,N/A,N/A,N/A,N/A,N/A,19th Jun 07  ,20th Jul 19
63,Mario Sports Mix,Wii,Nintendo  ,Square Enix  ,N/A  ,6.0  ,N/A  ,1.98m,N/A,N/A,N/A,N/A,N/A,07th Feb 11  ,N/A
64,Pokémon Battle Revolution,Wii,Nintendo  ,Genius Sonority Inc.  ,N/A  ,5.2  ,N/A  ,1.95m,N/A,N/A,N/A,N/A,N/A,25th Jun 07  ,N/A
65,Call of Duty: World at War,Wii,Activision  ,EXAKT Entertainment  ,8.4  ,8.1  ,8.9  ,N/A,1.94m,1.17m,0.58m,N/A,0.18m,10th Nov 08  ,N/A
66,Monster Hunter Tri,Wii,Capcom  ,Capcom Production Studio 1  ,9.1  ,8.1  ,10.0  ,1.90m,N/A,N/A,N/A,N/A,N/A,20th Apr 10  ,N/A
67,Monopoly,Wii,Electronic Arts  ,EA Bright Light  ,N/A  ,N/A  ,N/A  ,N/A,1.89m,0.86m,0.83m,0.00m,0.20m,20th Oct 08  ,N/A
68,Toy Story Mania!,Wii,Disney Interactive Studios  ,Papaya Studios  ,N/A  ,N/A  ,N/A  ,N/A,1.89m,1.04m,0.66m,N/A,0.19m,15th Sep 09  ,N/A
69,Game Party 2,Wii,Midway Games  ,FarSight Studios  ,N/A  ,N/A  ,N/A  ,N/A,1.88m,1.28m,0.44m,N/A,0.17m,06th Oct 08  ,N/A
