position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Kinect Adventures!,X360,Microsoft Game Studios  ,Good Science Studio  ,6.2  ,6.7  ,N/A  ,24.00m,N/A,N/A,N/A,N/A,N/A,04th Nov 10  ,29th Sep 18
2,Grand Theft Auto V,X360,Rockstar Games  ,Rockstar North  ,N/A  ,N/A  ,N/A  ,N/A,15.86m,9.06m,5.33m,0.06m,1.42m,17th Sep 13  ,N/A
3,Call of Duty: Modern Warfare 3,X360,Activision  ,Infinity Ward  ,N/A  ,8.7  ,N/A  ,N/A,14.82m,9.07m,4.29m,0.13m,1.33m,08th Nov 11  ,N/A
4,Call of Duty: Black Ops,X360,Activision  ,Treyarch  ,N/A  ,8.8  ,N/A  ,N/A,14.74m,9.76m,3.73m,0.11m,1.14m,09th Nov 10  ,N/A
5,Halo 3,X360,Microsoft Game Studios  ,Bungie Studios  ,8.8  ,9.6  ,9.5  ,14.50m,N/A,N/A,N/A,N/A,N/A,25th Sep 07  ,11th Oct 18
6,Call of Duty: Black Ops II,X360,Activision  ,Treyarch  ,N/A  ,N/A  ,N/A  ,N/A,13.86m,8.27m,4.32m,0.07m,1.20m,13th Nov 12  ,07th Apr 18
7,Call of Duty: Modern Warfare 2,X360,Activision  ,Infinity Ward  ,9.0  ,9.5  ,9.0  ,N/A,13.53m,8.54m,3.63m,0.08m,1.28m,10th Nov 09  ,N/A
8,Minecraft,X360,Microsoft Studios  ,Mojang  ,N/A  ,N/A  ,N/A  ,13.00m,N/A,N/A,N/A,N/A,N/A,04th Jun 13  ,05th Aug 18
9,Grand Theft Auto IV,X360,Rockstar Games  ,Rockstar North  ,9.0  ,10.0  ,N/A  ,N/A,11.09m,6.80m,3.11m,0.14m,1.04m,29th Apr 08  ,N/A
10,Call of Duty: Ghosts,X360,Activision  ,Infinity Ward  ,N/A  ,6.9  ,N/A  ,N/A,10.41m,6.76m,2.64m,0.04m,0.98m,05th Nov 13  ,21st Mar 18
11,Halo: Reach,X360,Microsoft Game Studios  ,Bungie  ,N/A  ,9.3  ,N/A  ,N/A,9.97m,7.08m,2.01m,0.08m,0.80m,14th Sep 10  ,11th Oct 18
12,Halo 4,X360,Microsoft Studios  ,343 Industries  ,N/A  ,N/A  ,N/A  ,N/A,9.96m,6.72m,2.36m,0.04m,0.83m,06th Nov 12  ,N/A
13,Call of Duty 4: Modern Warfare,X360,Activision  ,Infinity Ward  ,N/A  ,9.6  ,9.0  ,N/A,9.41m,5.98m,2.39m,0.13m,0.91m,05th Nov 07  ,N/A
14,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,9.3  ,N/A  ,N/A,8.88m,5.10m,2.83m,0.10m,0.85m,11th Nov 11  ,01st Apr 18
15,Call of Duty: World at War,X360,Activision  ,Treyarch  ,8.8  ,8.5  ,7.8  ,N/A,7.50m,4.88m,1.91m,N/A,0.71m,10th Nov 08  ,N/A
16,Battlefield 3,X360,Electronic Arts  ,Dice  ,N/A  ,8.5  ,N/A  ,N/A,7.35m,4.47m,2.12m,0.06m,0.69m,25th Oct 11  ,N/A
17,Red Dead Redemption,X360,Rockstar Games  ,Rockstar San Diego  ,9.1  ,9.5  ,10.0  ,N/A,6.50m,3.77m,2.03m,0.09m,0.60m,18th May 10  ,N/A
18,Assassin's Creed,X360,Ubisoft  ,Ubisoft Montreal  ,7.5  ,8.2  ,8.0  ,N/A,5.55m,3.28m,1.64m,0.07m,0.56m,13th Nov 07  ,N/A
19,Forza Motorsport 3,X360,Microsoft Game Studios  ,Turn 10 Studios  ,N/A  ,9.2  ,9.8  ,N/A,5.50m,2.99m,1.90m,0.10m,0.51m,27th Oct 09  ,N/A
20,Assassin's Creed III,X360,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,5.31m,3.13m,1.71m,0.03m,0.45m,30th Oct 12  ,07th Feb 18
21,Assassin's Creed II,X360,Ubisoft  ,Ubisoft Montreal  ,9.0  ,9.1  ,N/A  ,N/A,5.30m,3.14m,1.55m,0.08m,0.52m,17th Nov 09  ,N/A
22,FIFA 13,X360,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,5.11m,1.10m,3.49m,0.03m,0.50m,25th Sep 12  ,06th Apr 18
