position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Halo 2,XB,Microsoft Game Studios  ,Bungie Studios  ,N/A  ,9.6  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,09th Nov 04  ,11th Oct 18
2,Halo: Combat Evolved,XB,Microsoft  ,Bungie Studios  ,N/A  ,9.5  ,N/A  ,5.00m,N/A,N/A,N/A,N/A,N/A,14th Nov 01  ,11th Oct 18
3,Tom Clancy's Splinter Cell,XB,Ubisoft  ,Ubisoft  ,N/A  ,9.3  ,9.1  ,N/A,3.02m,1.85m,1.04m,N/A,0.13m,17th Nov 02  ,N/A
4,Fable,XB,Microsoft Game Studios  ,Big Blue Box  ,N/A  ,8.6  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,14th Sep 04  ,25th Sep 18
5,The Elder Scrolls III: Morrowind,XB,Bethesda Softworks  ,Bethesda Softworks  ,N/A  ,8.2  ,N/A  ,N/A,2.86m,2.09m,0.63m,0.03m,0.11m,06th Jun 02  ,N/A
6,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,Rockstar Games  ,Rockstar North  ,N/A  ,9.8  ,N/A  ,N/A,2.49m,1.84m,0.56m,N/A,0.09m,31st Oct 03  ,N/A
7,Need for Speed Underground 2,XB,Electronic Arts  ,EA Black Box  ,N/A  ,N/A  ,N/A  ,N/A,2.28m,1.38m,0.80m,N/A,0.10m,15th Nov 04  ,N/A
8,Star Wars: Knights of the Old Republic,XB,LucasArts  ,BioWare Corp.  ,N/A  ,9.4  ,10.0  ,N/A,2.19m,1.68m,0.44m,N/A,0.08m,17th Jul 03  ,N/A
9,Project Gotham Racing,XB,Microsoft  ,Bizarre Creations  ,N/A  ,8.4  ,N/A  ,N/A,2.12m,1.37m,0.61m,0.05m,0.09m,14th Nov 01  ,N/A
10,Project Gotham Racing (JP weekly sales),XB,Microsoft  ,Bizarre Creations  ,N/A  ,N/A  ,N/A  ,N/A,2.10m,1.54m,0.44m,0.04m,0.07m,22nd Feb 02  ,25th Sep 18
11,Dead or Alive 3,XB,Tecmo  ,Team Ninja  ,N/A  ,8.3  ,N/A  ,2.04m,N/A,N/A,N/A,N/A,N/A,14th Nov 01  ,N/A
12,Grand Theft Auto: San Andreas,XB,Rockstar Games  ,Rockstar North  ,N/A  ,9.2  ,N/A  ,N/A,1.95m,1.26m,0.61m,N/A,0.09m,07th Jun 05  ,N/A
13,Madden NFL 06,XB,EA Sports  ,EA Tiburon  ,N/A  ,N/A  ,N/A  ,N/A,1.86m,1.75m,0.03m,N/A,0.08m,08th Aug 05  ,N/A
14,Tom Clancy's Ghost Recon,XB,Ubisoft  ,Red Storm Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,1.76m,1.23m,0.46m,N/A,0.07m,11th Nov 02  ,N/A
15,Star Wars Battlefront,XB,LucasArts  ,Pandemic Studios  ,N/A  ,N/A  ,N/A  ,N/A,1.75m,1.24m,0.45m,N/A,0.07m,20th Sep 04  ,N/A
16,Madden NFL 2005,XB,EA Sports  ,EA Tiburon  ,N/A  ,N/A  ,N/A  ,N/A,1.72m,1.61m,0.03m,N/A,0.08m,09th Aug 04  ,N/A
17,Need for Speed Underground,XB,Electronic Arts  ,EA Black Box  ,N/A  ,N/A  ,N/A  ,N/A,1.71m,1.09m,0.55m,N/A,0.07m,17th Nov 03  ,N/A
18,Star Wars Battlefront II,XB,LucasArts  ,Pandemic Studios  ,N/A  ,N/A  ,N/A  ,N/A,1.67m,1.22m,0.39m,N/A,0.06m,01st Nov 05  ,N/A
19,PGR: Project Gotham Racing 2,XB,Microsoft Game Studios  ,Bizarre Creations  ,N/A  ,8.9  ,N/A  ,N/A,1.67m,0.97m,0.59m,0.04m,0.07m,17th Nov 03  ,N/A
20,ESPN NFL 2K5,XB,Sega  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,N/A,1.63m,1.54m,0.02m,N/A,0.07m,20th Jul 04  ,N/A
21,Tom Clancy's Rainbow Six 3,XB,Ubisoft  ,Ubisoft Montreal / Red Storm Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,1.55m,0.91m,0.57m,N/A,0.07m,12th Nov 03  ,N/A
22,Counter-Strike,XB,Microsoft Game Studios  ,Valve Software  ,N/A  ,N/A  ,N/A  ,1.50m,N/A,N/A,N/A,N/A,N/A,18th Nov 03  ,N/A
23,Medal of Honor: Frontline,XB,Electronic Arts  ,EA Los Angeles  ,N/A  ,N/A  ,N/A  ,N/A,1.49m,1.00m,0.43m,N/A,0.06m,10th Nov 02  ,N/A
24,Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,Ubisoft  ,Ubisoft Shanghai  ,N/A  ,9.2  ,9.0  ,N/A,1.48m,0.82m,0.59m,N/A,0.07m,23rd Mar 04  ,N/A
25,Spider-Man: The Movie,XB,Activision  ,Treyarch  ,N/A  ,7.7  ,N/A  ,N/A,1.40m,1.07m,0.28m,N/A,0.05m,15th Apr 02  ,N/A
26,True Crime: Streets of LA,XB,Activision  ,Luxoflux  ,N/A  ,N/A  ,N/A  ,N/A,1.38m,0.96m,0.37m,N/A,0.05m,03rd Nov 03  ,N/A
27,Star Wars Knights of the Old Republic II: The Sith Lords,XB,LucasArts  ,Obsidian Entertainment  ,N/A  ,N/A  ,9.3  ,N/A,1.37m,0.99m,0.33m,N/A,0.05m,06th Dec 04  ,N/A
28,Tom Clancy's Ghost Recon 2,XB,Ubisoft  ,Red Storm Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,1.36m,0.86m,0.45m,N/A,0.06m,16th Nov 04  ,N/A
29,The Simpsons: Hit & Run,XB,VU Games  ,Radical Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,1.35m,0.70m,0.58m,N/A,0.07m,16th Sep 03  ,N/A
30,Doom 3,XB,Activision  ,Vicarious Visions  ,N/A  ,N/A  ,N/A  ,N/A,1.34m,0.85m,0.43m,N/A,0.06m,03rd Apr 05  ,N/A
31,Burnout 3: Takedown,XB,Electronic Arts  ,Criterion Games  ,N/A  ,9.3  ,N/A  ,N/A,1.31m,0.84m,0.43m,N/A,0.04m,07th Sep 04  ,N/A
32,Tony Hawk's Underground,XB,Activision  ,Neversoft Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,1.27m,0.85m,0.37m,N/A,0.05m,28th Oct 03  ,N/A
33,Star Wars Episode III: Revenge of the Sith,XB,LucasArts  ,The Collective  ,N/A  ,N/A  ,N/A  ,N/A,1.24m,0.82m,0.38m,N/A,0.04m,04th May 05  ,N/A
34,Crash Bandicoot: The Wrath of Cortex,XB,Universal Interactive  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,1.23m,0.59m,0.57m,N/A,0.07m,15th Apr 02  ,N/A
35,Max Payne,XB,Rockstar Games  ,neo Software  ,N/A  ,8.6  ,N/A  ,N/A,1.22m,0.98m,0.19m,N/A,0.05m,12th Dec 01  ,N/A
36,Fuzion Frenzy,XB,Microsoft  ,Blitz Games  ,N/A  ,N/A  ,N/A  ,N/A,1.21m,0.93m,0.24m,N/A,0.04m,14th Nov 01  ,N/A
37,Call of Duty: Finest Hour,XB,Activision  ,Spark Unlimited  ,N/A  ,N/A  ,N/A  ,N/A,1.21m,0.78m,0.40m,N/A,0.04m,16th Nov 04  ,N/A
38,Ninja Gaiden,XB,Tecmo  ,Team Ninja  ,N/A  ,9.4  ,N/A  ,1.20m,N/A,N/A,N/A,N/A,N/A,02nd Mar 04  ,N/A
39,Enter the Matrix,XB,Atari  ,Shiny Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,1.20m,0.72m,0.43m,0.01m,0.04m,14th May 03  ,N/A
40,Hitman 2: Silent Assassin,XB,Eidos Interactive  ,IO Interactive  ,N/A  ,N/A  ,N/A  ,N/A,1.19m,0.76m,0.38m,N/A,0.05m,30th Sep 02  ,N/A
41,Medal of Honor: Rising Sun,XB,Electronic Arts  ,EA Los Angeles  ,N/A  ,N/A  ,N/A  ,N/A,1.17m,0.76m,0.36m,N/A,0.05m,11th Nov 03  ,N/A
42,LEGO Star Wars: The Video Game,XB,Eidos Interactive  ,Traveller's Tales  ,N/A  ,8.0  ,N/A  ,N/A,1.16m,0.83m,0.28m,N/A,0.05m,05th Apr 05  ,N/A
43,The Lord of the Rings: The Return of the King,XB,Electronic Arts  ,"Hypnos Entertainment, Inc.  ",N/A  ,8.8  ,N/A  ,N/A,1.14m,0.71m,0.38m,N/A,0.05m,05th Nov 03  ,N/A
44,MechAssault,XB,Microsoft Game Studios  ,Day 1 Studios  ,N/A  ,N/A  ,N/A  ,N/A,1.13m,1.01m,0.10m,N/A,0.03m,11th Nov 02  ,N/A
45,Tom Clancy's Rainbow Six 3: Black Arrow,XB,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,1.13m,0.99m,0.12m,N/A,0.02m,04th Aug 04  ,N/A
46,Call Of Duty 2: Big Red One,XB,Activision  ,Treyarch  ,N/A  ,N/A  ,N/A  ,N/A,1.12m,0.66m,0.40m,N/A,0.05m,01st Nov 05  ,N/A
47,Spider-Man 2,XB,Activision  ,Treyarch  ,N/A  ,7.7  ,N/A  ,N/A,1.12m,0.82m,0.26m,N/A,0.04m,28th Jun 04  ,N/A
48,Tom Clancy's Splinter Cell: Chaos Theory,XB,Ubisoft  ,Ubisoft Montreal  ,N/A  ,9.4  ,N/A  ,N/A,1.11m,0.68m,0.38m,N/A,0.05m,28th Mar 05  ,N/A
49,Madden NFL 2004,XB,EA Sports  ,EA Tiburon  ,N/A  ,N/A  ,N/A  ,N/A,1.09m,1.02m,0.02m,N/A,0.05m,12th Aug 03  ,N/A
50,The Simpsons: Road Rage,XB,Electronic Arts  ,Radical Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,1.05m,0.78m,0.26m,N/A,0.01m,01st Dec 01  ,N/A
51,Forza Motorsport,XB,Microsoft Game Studios  ,Turn 10 Studios  ,N/A  ,9.2  ,N/A  ,N/A,1.05m,0.52m,0.51m,N/A,0.02m,03rd May 05  ,N/A
52,Need for Speed: Most Wanted,XB,Electronic Arts  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,1.04m,0.53m,0.46m,N/A,0.05m,15th Nov 05  ,N/A
53,The Elder Scrolls III: Morrowind Game of the Year Edition,XB,Bethesda Softworks  ,Bethesda Softworks  ,N/A  ,8.3  ,N/A  ,N/A,1.03m,0.77m,0.22m,N/A,0.04m,31st Oct 03  ,N/A
54,Madden NFL 07,XB,EA Sports  ,EA Tiburon  ,N/A  ,8.4  ,N/A  ,N/A,1.02m,0.97m,0.03m,N/A,0.03m,22nd Aug 06  ,N/A
55,SoulCalibur II,XB,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,N/A,1.00m,0.78m,0.18m,0.03m,0.00m,27th Aug 03  ,N/A
56,NFL Fever 2002,XB,Microsoft  ,Microsoft  ,N/A  ,N/A  ,N/A  ,N/A,0.99m,0.74m,0.21m,N/A,0.04m,14th Nov 01  ,25th Sep 18
57,NCAA Football 06,XB,EA Sports  ,EA Tiburon  ,N/A  ,N/A  ,N/A  ,N/A,0.97m,0.73m,0.21m,N/A,0.03m,11th Jul 05  ,N/A
58,FIFA Soccer 2005,XB,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,0.97m,0.33m,0.60m,N/A,0.04m,12th Oct 04  ,N/A
59,Mortal Kombat: Deadly Alliance,XB,Midway Games  ,Midway  ,N/A  ,N/A  ,N/A  ,N/A,0.96m,0.77m,0.15m,N/A,0.04m,20th Nov 02  ,N/A
60,ESPN NBA 2K5,XB,Sega  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,N/A,0.95m,0.88m,0.04m,N/A,0.04m,28th Sep 04  ,N/A
61,MVP Baseball 2005,XB,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,0.94m,0.70m,0.20m,N/A,0.03m,22nd Feb 05  ,N/A
62,Prince of Persia: The Sands of Time,XB,Ubisoft  ,Ubisoft Montreal  ,N/A  ,9.0  ,N/A  ,N/A,0.94m,0.57m,0.33m,N/A,0.04m,12th Nov 03  ,N/A
63,Tony Hawk's Pro Skater 4,XB,Activision  ,Neversoft Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.93m,0.59m,0.30m,N/A,0.04m,23rd Oct 02  ,N/A
64,Namco Museum,XB,Namco  ,Mass Media  ,N/A  ,N/A  ,N/A  ,N/A,0.91m,0.77m,0.11m,N/A,0.04m,09th Oct 02  ,N/A
65,Sonic Mega Collection Plus,XB,Sega  ,Sonic Team  ,N/A  ,N/A  ,N/A  ,N/A,0.91m,0.61m,0.26m,N/A,0.04m,02nd Nov 04  ,N/A
66,RalliSport Challenge,XB,Microsoft  ,Digital Illusions  ,N/A  ,N/A  ,N/A  ,0.90m,N/A,N/A,N/A,N/A,N/A,04th Mar 02  ,N/A
67,Sonic Heroes,XB,Sega  ,Sonic Team  ,N/A  ,N/A  ,N/A  ,N/A,0.90m,0.41m,0.43m,0.01m,0.05m,27th Jan 04  ,N/A
68,James Bond 007: Agent Under Fire,XB,Electronic Arts  ,EA Redwood Shores  ,N/A  ,N/A  ,N/A  ,N/A,0.90m,0.65m,0.22m,N/A,0.03m,26th Mar 02  ,N/A
69,X-Men Legends,XB,Activision  ,Raven Software  ,N/A  ,8.2  ,N/A  ,N/A,0.90m,0.62m,0.24m,N/A,0.04m,21st Sep 04  ,N/A
70,NBA Live 2005,XB,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,0.90m,0.81m,0.05m,N/A,0.04m,28th Sep 04  ,N/A
71,Crimson Skies: High Road to Revenge,XB,Microsoft Game Studios  ,FASA Studio  ,N/A  ,N/A  ,N/A  ,N/A,0.87m,0.65m,0.19m,N/A,0.03m,21st Oct 03  ,25th Sep 18
72,Tom Clancy's Ghost Recon: Island Thunder,XB,Ubisoft  ,Red Storm Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.87m,0.61m,0.24m,N/A,0.03m,06th Aug 03  ,N/A
73,Conflict: Desert Storm,XB,Gotham Games  ,Pivotal Games  ,N/A  ,N/A  ,N/A  ,N/A,0.87m,0.48m,0.37m,N/A,0.02m,30th Sep 02  ,N/A
74,Tiger Woods PGA Tour 2005,XB,EA Sports  ,EA Redwood Shores  ,N/A  ,N/A  ,N/A  ,N/A,0.85m,0.64m,0.18m,N/A,0.03m,20th Sep 04  ,N/A
