position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Grand Theft Auto V,XOne,Rockstar Games  ,Rockstar North  ,N/A  ,9.0  ,9.0  ,N/A,8.72m,4.70m,3.25m,0.01m,0.76m,18th Nov 14  ,11th Apr 18
2,Call of Duty: Black Ops 3,XOne,Activision  ,Treyarch  ,N/A  ,N/A  ,N/A  ,N/A,7.37m,4.63m,2.04m,0.02m,0.68m,06th Nov 15  ,14th Jan 18
3,Call of Duty: WWII,XOne,Activision  ,Sledgehammer Games  ,N/A  ,N/A  ,N/A  ,N/A,6.23m,3.75m,1.91m,N/A,0.57m,03rd Nov 17  ,30th Dec 17
4,Red Dead Redemption 2,XOne,Rockstar Games  ,Rockstar Games  ,N/A  ,N/A  ,N/A  ,N/A,5.77m,3.76m,1.47m,N/A,0.54m,26th Oct 18  ,02nd Nov 18
5,Minecraft,XOne,Microsoft Studios  ,Mojang  ,N/A  ,N/A  ,N/A  ,N/A,5.43m,3.23m,1.71m,N/A,0.49m,18th Nov 14  ,14th Sep 18
6,Call of Duty: Advanced Warfare,XOne,Activision  ,Sledgehammer Games  ,N/A  ,8.3  ,N/A  ,N/A,5.22m,3.25m,1.49m,0.01m,0.48m,04th Nov 14  ,01st Jan 18
7,Battlefield 1,XOne,Electronic Arts  ,EA DICE  ,N/A  ,9.3  ,N/A  ,N/A,5.13m,3.37m,1.26m,0.02m,0.48m,21st Oct 16  ,24th Mar 18
8,Fallout 4,XOne,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,8.4  ,N/A  ,N/A,5.03m,2.94m,1.62m,0.02m,0.45m,10th Nov 15  ,24th Mar 18
9,Halo 5: Guardians,XOne,Microsoft Studios  ,343 Industries  ,N/A  ,8.6  ,N/A  ,5.00m,N/A,N/A,N/A,N/A,N/A,27th Oct 15  ,24th Mar 18
10,Call of Duty: Black Ops IIII,XOne,Activision  ,Treyarch  ,N/A  ,N/A  ,N/A  ,N/A,4.85m,3.27m,1.12m,N/A,0.46m,12th Oct 18  ,07th Nov 18
11,Call of Duty: Infinite Warfare,XOne,Activision  ,Infinity Ward  ,N/A  ,N/A  ,N/A  ,N/A,4.79m,2.91m,1.44m,N/A,0.44m,04th Nov 16  ,24th Mar 18
12,The Witcher 3: Wild Hunt,XOne,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,4.30m,N/A,N/A,N/A,N/A,N/A,19th May 15  ,24th Mar 18
13,Star Wars Battlefront (2015),XOne,Electronic Arts  ,EA DICE  ,N/A  ,6.9  ,N/A  ,N/A,4.15m,2.49m,1.26m,0.02m,0.38m,17th Nov 15  ,24th Mar 18
14,FIFA 17,XOne,Electronic Arts  ,EA Canada  ,N/A  ,8.8  ,N/A  ,N/A,3.71m,1.04m,2.40m,N/A,0.27m,27th Sep 16  ,28th Mar 18
15,Assassin's Creed: Unity,XOne,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,3.58m,2.34m,0.90m,0.00m,0.34m,11th Nov 14  ,04th May 18
16,Halo: The Master Chief Collection,XOne,Microsoft Studios  ,343 Industries  ,N/A  ,N/A  ,N/A  ,N/A,3.44m,2.06m,1.04m,0.03m,0.31m,11th Nov 14  ,24th Mar 18
17,Destiny,XOne,Activision  ,Bungie  ,N/A  ,8.3  ,N/A  ,N/A,3.41m,2.17m,0.92m,N/A,0.32m,09th Sep 14  ,12th Jan 18
18,Gears of War 4,XOne,Microsoft Studios  ,The Coalition  ,N/A  ,N/A  ,N/A  ,N/A,3.38m,2.17m,0.90m,N/A,0.32m,11th Oct 16  ,13th Jan 18
19,FIFA 16,XOne,EA Sports  ,EA Canada  ,N/A  ,8.5  ,N/A  ,N/A,3.25m,0.92m,2.10m,N/A,0.24m,22nd Sep 15  ,01st Apr 18
20,FIFA 18,XOne,EA Sports  ,EA Vancouver  ,N/A  ,8.0  ,N/A  ,N/A,3.14m,0.98m,1.92m,N/A,0.23m,29th Sep 17  ,02nd Apr 18
21,Titanfall,XOne,Electronic Arts  ,Respawn Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,3.11m,1.88m,0.91m,0.04m,0.28m,11th Mar 14  ,12th Jan 18
22,Call of Duty: Ghosts,XOne,Activision  ,Infinity Ward  ,N/A  ,7.5  ,N/A  ,N/A,3.07m,1.92m,0.86m,N/A,0.28m,22nd Nov 13  ,21st Mar 18
23,Dead Rising 3,XOne,Microsoft Studios  ,Capcom  ,7.9  ,N/A  ,N/A  ,2.90m,N/A,N/A,N/A,N/A,N/A,22nd Nov 13  ,24th Mar 18
24,Overwatch,XOne,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,8.7  ,N/A  ,N/A,2.72m,1.63m,0.84m,N/A,0.25m,24th May 16  ,24th Mar 18
25,Tom Clancy's Rainbow Six: Siege,XOne,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,2.71m,1.62m,0.84m,N/A,0.25m,01st Dec 15  ,09th Jan 18
26,Tom Clancy's The Division,XOne,Ubisoft  ,Massive Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,2.59m,1.54m,0.82m,N/A,0.24m,08th Mar 16  ,04th May 18
27,Forza Horizon 3,XOne,Microsoft Studios  ,Playground Games  ,N/A  ,9.0  ,N/A  ,2.50m,N/A,N/A,N/A,N/A,N/A,27th Sep 16  ,13th Jan 18
28,Assassin's Creed Origins,XOne,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,2.47m,1.34m,0.92m,N/A,0.22m,27th Oct 17  ,10th Jan 18
29,Madden NFL 16,XOne,EA Sports  ,EA Tiburon  ,N/A  ,8.4  ,N/A  ,N/A,2.47m,2.13m,0.08m,N/A,0.26m,25th Aug 15  ,31st Mar 18
30,Madden NFL 17,XOne,EA Sports  ,EA Tiburon  ,N/A  ,8.1  ,N/A  ,N/A,2.44m,2.14m,0.04m,N/A,0.26m,23rd Aug 16  ,01st Apr 18
31,NBA 2K16,XOne,2K Sports  ,Visual Concepts  ,N/A  ,8.3  ,N/A  ,N/A,2.41m,2.01m,0.15m,N/A,0.25m,29th Sep 15  ,28th Mar 18
32,Forza Motorsport 5,XOne,Microsoft Studios  ,Turn 10 Studios  ,N/A  ,N/A  ,N/A  ,N/A,2.40m,1.28m,0.90m,0.01m,0.21m,22nd Nov 13  ,15th Jan 18
33,Destiny 2,XOne,Activision  ,Bungie  ,N/A  ,N/A  ,N/A  ,N/A,2.35m,1.66m,0.47m,N/A,0.23m,06th Sep 17  ,20th Apr 18
34,Assassin's Creed IV: Black Flag,XOne,Ubisoft  ,Ubisoft Montreal  ,N/A  ,8.3  ,N/A  ,N/A,2.32m,1.51m,0.59m,N/A,0.22m,22nd Nov 13  ,14th Mar 18
35,FIFA 19,XOne,Electronic Arts  ,EA Sports  ,N/A  ,N/A  ,N/A  ,N/A,2.22m,0.56m,1.50m,N/A,0.16m,28th Sep 18  ,12th Sep 18
36,FIFA 15,XOne,EA Sports  ,EA Canada  ,N/A  ,7.9  ,N/A  ,N/A,2.19m,0.64m,1.39m,N/A,0.16m,23rd Sep 14  ,23rd Mar 18
37,PlayerUnknown's Battlegrounds,XOne,Microsoft Studios  ,PUBG Corporation  ,N/A  ,N/A  ,N/A  ,N/A,2.17m,1.29m,0.69m,N/A,0.20m,12th Dec 17  ,16th Jan 18
38,Battlefield 4,XOne,Electronic Arts  ,EA DICE  ,N/A  ,N/A  ,N/A  ,N/A,2.09m,1.26m,0.65m,N/A,0.19m,22nd Nov 13  ,05th Jan 18
39,NBA 2K17,XOne,2K Sports  ,Visual Concepts  ,N/A  ,8.8  ,N/A  ,N/A,2.04m,1.70m,0.12m,N/A,0.21m,16th Sep 16  ,28th Mar 18
40,NBA 2K18,XOne,2K Sports  ,Visual Concepts  ,N/A  ,7.7  ,N/A  ,N/A,2.02m,1.67m,0.14m,N/A,0.21m,19th Sep 17  ,02nd Apr 18
41,Star Wars Battlefront II (2017),XOne,Electronic Arts  ,EA DICE  ,N/A  ,N/A  ,N/A  ,N/A,1.92m,1.15m,0.59m,N/A,0.17m,17th Nov 17  ,29th Dec 17
42,Madden NFL 18,XOne,EA Sports  ,EA Tiburon  ,N/A  ,8.8  ,N/A  ,N/A,1.91m,1.63m,0.07m,N/A,0.20m,25th Aug 17  ,03rd Apr 18
43,Forza Horizon 4,XOne,Microsoft Studios  ,Playground Games  ,N/A  ,9.2  ,N/A  ,N/A,1.84m,0.74m,0.95m,0.01m,0.15m,02nd Oct 18  ,01st Oct 18
44,The Elder Scrolls V: Skyrim Special Edition,XOne,Bethesda Softworks  ,Bethesda Softworks  ,N/A  ,8.1  ,N/A  ,N/A,1.83m,1.13m,0.53m,N/A,0.17m,28th Oct 16  ,01st Apr 18
