position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Gears 5: Hivebusters,XS,Unknown  ,The Coalition  ,6.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,13th Jan 21
2,3 out of 10: Season One,XS,Unknown  ,Terrible Posture Games  ,6.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,07th Mar 21
3,As Dusk Falls,XS,Xbox Game Studios  ,Interior/Night  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,23rd Jul 20
4,Assassin's Creed Valhalla,XS,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 20  ,30th Apr 20
5,Avowed,XS,Xbox Game Studios  ,Obsidian Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,23rd Jul 20
6,Balan Wonderworld,XS,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,23rd Jul 20
7,Battlefield VI,XS,Electronic Arts  ,EA DICE  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,18th Jun 20
8,Bright Memory,XS,Unknown  ,FYQD Personal Studio  ,4.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,09th Dec 20
9,Bright Memory Infinite,XS,Playism  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,07th May 20
10,Call of Duty: Black Ops Cold War,XS,Activision  ,Treyarch  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th Nov 20  ,20th Aug 20
11,Call of the Sea,XS,Raw Fury  ,Out of the Blue  ,7.5  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,07th May 20
12,Chivalry 2,XS,Tripwire Interactive  ,Torn Banner Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,18th Jun 20
13,Chorus: Rise as One,XS,Unknown  ,Fishlabs Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,07th May 20
14,Control,XS,505 Games  ,Remedy  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,13th Jun 20
15,Cris Tales,XS,Modus Games  ,Dreams Uncorporated  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,18th Jun 20
